mut_par_size	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.133097	0.637613	10.000000	10.155190	9.731459	2999
0.250000	0.058653	0.718097	10.000000	10.359384	9.556904	2999
0.250000	0.192763	0.554867	10.000000	10.084192	9.878115	2999
0.250000	0.124677	0.646827	10.000000	10.170387	9.740616	2999
0.250000	0.184807	0.546887	10.000000	10.109248	9.932340	2999
0.250000	0.034393	0.724630	10.000000	10.514184	9.466428	2999
0.250000	0.114847	0.662807	10.000000	10.183912	9.641096	2999
0.250000	0.165253	0.598203	10.000000	10.106730	9.790505	2999
0.250000	0.084347	0.686250	10.000000	10.279178	9.505833	2999
0.250000	0.146680	0.633033	10.000000	10.119264	9.643321	2999
0.250000	0.145483	0.624800	10.000000	10.131992	9.739256	2999
0.250000	0.100597	0.675653	10.000000	10.224238	9.553964	2999
0.250000	0.095703	0.681420	10.000000	10.233728	9.597011	2999
0.250000	0.177587	0.555307	10.000000	10.120134	9.932220	2999
0.250000	0.142117	0.623917	10.000000	10.140942	9.764521	2999
0.250000	0.128893	0.644947	10.000000	10.160660	9.709032	2999
0.250000	0.124590	0.655043	10.000000	10.165301	9.595879	2999
0.250000	0.113493	0.657137	10.000000	10.197199	9.751451	2999
0.250000	0.097480	0.678670	10.000000	10.227931	9.700450	2999
0.250000	0.165933	0.605767	10.000000	10.095673	9.734522	2999
0.250000	0.117753	0.658773	10.000000	10.181860	9.660572	2999
0.250000	0.111620	0.667333	10.000000	10.192128	9.624669	2999
0.250000	0.088723	0.687643	10.000000	10.253627	9.555136	2999
0.250000	0.099863	0.678467	10.000000	10.220954	9.663801	2999
0.250000	0.115930	0.649650	10.000000	10.196507	9.781059	2999
0.250000	0.131967	0.646883	10.000000	10.147213	9.623508	2999
0.250000	0.139893	0.627493	10.000000	10.144102	9.755635	2999
0.250000	0.159013	0.585130	10.000000	10.137300	9.885361	2999
0.250000	0.089110	0.688447	10.000000	10.251088	9.591237	2999
0.250000	0.118370	0.658300	10.000000	10.177587	9.652272	2999
0.250000	0.107003	0.665473	10.000000	10.209438	9.724489	2999
0.250000	0.057587	0.717387	10.000000	10.366604	9.541180	2999
0.250000	0.075293	0.704287	10.000000	10.294649	9.608272	2999
0.250000	0.138587	0.637283	10.000000	10.138361	9.683525	2999
0.250000	0.135897	0.635560	10.000000	10.148615	9.730432	2999
0.250000	0.087263	0.691860	10.000000	10.255021	9.625928	2999
0.250000	0.136543	0.637900	10.000000	10.144381	9.685218	2999
0.250000	0.135923	0.637490	10.000000	10.144512	9.706809	2999
0.250000	0.116350	0.659887	10.000000	10.184326	9.684460	2999
0.250000	0.159970	0.604883	10.000000	10.114996	9.780595	2999
0.250000	0.152617	0.621687	10.000000	10.114272	9.699549	2999
0.250000	0.071950	0.698657	10.000000	10.318409	9.519420	2999
0.250000	0.069330	0.707853	10.000000	10.315527	9.574793	2999
0.250000	0.051637	0.713573	10.000000	10.403600	9.489037	2999
0.250000	0.120447	0.658060	10.000000	10.171941	9.630360	2999
0.250000	0.086543	0.682970	10.000000	10.267802	9.506286	2999
0.250000	0.016320	0.725497	10.000000	10.704070	9.423639	2999
0.250000	0.121747	0.650100	10.000000	10.175998	9.730288	2999
0.250000	0.078020	0.694720	10.000000	10.291232	9.526948	2999
0.250000	0.133953	0.642413	10.000000	10.147085	9.671202	2999
0.250000	0.060937	0.704903	10.000000	10.361844	9.497111	2999
0.250000	0.138640	0.639737	10.000000	10.137379	9.653234	2999
0.250000	0.115450	0.655343	10.000000	10.192414	9.741235	2999
0.250000	0.106467	0.672380	10.000000	10.203831	9.616463	2999
0.250000	0.096943	0.680890	10.000000	10.230131	9.636177	2999
0.250000	0.121753	0.651647	10.000000	10.174297	9.704441	2999
0.250000	0.120227	0.658383	10.000000	10.172661	9.615916	2999
0.250000	0.092270	0.684897	10.000000	10.243344	9.580328	2999
0.250000	0.135030	0.620607	10.000000	10.168203	9.834705	2999
0.250000	0.109453	0.665270	10.000000	10.201416	9.693954	2999
0.250000	0.123087	0.650770	10.000000	10.170854	9.681058	2999
0.250000	0.107333	0.667453	10.000000	10.207276	9.539563	2999
0.250000	0.108190	0.667753	10.000000	10.203458	9.684155	2999
0.250000	0.192120	0.543077	10.000000	10.095096	9.926894	2999
0.250000	0.081247	0.696493	10.000000	10.275434	9.600302	2999
0.250000	0.011327	0.725110	10.000000	10.795107	9.408134	2999
0.250000	0.125597	0.645957	10.000000	10.168283	9.719686	2999
0.250000	0.147627	0.615593	10.000000	10.136913	9.787714	2999
0.250000	0.003903	0.642907	10.000000	12.111159	9.252590	2999
0.250000	0.087837	0.684047	10.000000	10.267427	9.516680	2999
0.250000	0.097080	0.679853	10.000000	10.231286	9.684051	2999
0.250000	0.083407	0.697037	10.000000	10.265379	9.640331	2999
0.250000	0.082350	0.691463	10.000000	10.275058	9.537428	2999
0.250000	0.106847	0.670950	10.000000	10.204663	9.642249	2999
0.250000	0.129187	0.639220	10.000000	10.164114	9.753480	2999
0.250000	0.068320	0.707780	10.000000	10.322102	9.552433	2999
0.250000	0.150230	0.626850	10.000000	10.115952	9.682284	2999
0.250000	0.095363	0.682967	10.000000	10.232594	9.610365	2999
0.250000	0.112147	0.667237	10.000000	10.194153	9.651209	2999
0.250000	0.003010	0.741957	10.000000	12.486555	9.420146	2999
0.250000	0.105290	0.670777	10.000000	10.210184	9.698139	2999
0.250000	0.142450	0.582203	10.000000	10.185019	9.969667	2999
0.250000	0.080877	0.692713	10.000000	10.280279	9.539885	2999
0.250000	0.075903	0.703133	10.000000	10.291519	9.597357	2999
0.250000	0.132787	0.643910	10.000000	10.149000	9.660262	2999
0.250000	0.078000	0.697430	10.000000	10.288778	9.546404	2999
0.250000	0.076303	0.704897	10.000000	10.287126	9.656662	2999
0.250000	0.167647	0.606017	10.000000	10.090668	9.722227	2999
0.250000	0.107680	0.669783	10.000000	10.209885	9.563005	2999
0.250000	0.122293	0.655607	10.000000	10.169598	9.622871	2999
0.250000	0.125283	0.648810	10.000000	10.166030	9.705766	2999
0.250000	0.124560	0.652353	10.000000	10.165715	9.662015	2999
0.250000	0.082597	0.693177	10.000000	10.275138	9.566643	2999
0.250000	0.127450	0.650630	10.000000	10.156548	9.620501	2999
0.250000	0.108743	0.667857	10.000000	10.203241	9.550727	2999
0.250000	0.150557	0.618730	10.000000	10.124087	9.746361	2999
0.250000	0.117863	0.650020	10.000000	10.189469	9.763821	2999
0.250000	0.149180	0.630227	10.000000	10.113679	9.654189	2999
0.250000	0.007730	0.700433	10.000000	11.205954	9.352768	2999
0.250000	0.003633	0.733780	10.000000	11.614865	9.407782	2999
0.250000	0.145227	0.624327	10.000000	10.133187	9.749074	2999
0.250000	0.138560	0.636467	10.000000	10.141665	9.703611	2999
0.250000	0.118957	0.659093	10.000000	10.176038	9.641974	2999
0.250000	0.096877	0.681997	10.000000	10.228343	9.618479	2999
0.250000	0.113673	0.662963	10.000000	10.187662	9.662795	2999
0.250000	0.147970	0.623367	10.000000	10.126952	9.730262	2999
0.250000	0.091207	0.686707	10.000000	10.243375	9.586780	2999
0.250000	0.132770	0.642657	10.000000	10.150553	9.680928	2999
0.250000	0.089237	0.682150	10.000000	10.258948	9.527882	2999
0.250000	0.122517	0.644807	10.000000	10.177347	9.755350	2999
0.250000	0.099650	0.676993	10.000000	10.223333	9.692849	2999
0.250000	0.165603	0.603003	10.000000	10.099936	9.757363	2999
0.250000	0.094790	0.683353	10.000000	10.234790	9.621116	2999
0.250000	0.074220	0.699977	10.000000	10.308901	9.533918	2999
0.250000	0.156583	0.616320	10.000000	10.108758	9.718083	2999
0.250000	0.105393	0.671560	10.000000	10.209295	9.660722	2999
0.250000	0.141140	0.614407	10.000000	10.156627	9.829834	2999
0.250000	0.094010	0.684853	10.000000	10.234755	9.640850	2999
0.250000	0.128057	0.644913	10.000000	10.162371	9.720703	2999
0.250000	0.118947	0.658823	10.000000	10.175271	9.639519	2999
0.250000	0.131143	0.646573	10.000000	10.151663	9.651861	2999
0.250000	0.077753	0.697293	10.000000	10.287039	9.554091	2999
0.250000	0.134773	0.630150	10.000000	10.156869	9.776883	2999
0.250000	0.140197	0.630577	10.000000	10.140717	9.731996	2999
0.250000	0.087797	0.690020	10.000000	10.252642	9.588228	2999
0.250000	0.134607	0.641493	10.000000	10.147365	9.685670	2999
0.250000	0.147703	0.627247	10.000000	10.121578	9.694587	2999
0.250000	0.111137	0.665450	10.000000	10.195067	9.632574	2999
0.250000	0.148737	0.607787	10.000000	10.141471	9.830216	2999
0.250000	0.087943	0.689377	10.000000	10.253467	9.582207	2999
0.250000	0.029560	0.730393	10.000000	10.551525	9.469456	2999
0.250000	0.145113	0.614790	10.000000	10.144454	9.811130	2999
0.250000	0.140277	0.625460	10.000000	10.145960	9.773917	2999
0.250000	0.107700	0.670603	10.000000	10.201403	9.613183	2999
0.250000	0.022667	0.735830	10.000000	10.615300	9.465082	2999
0.250000	0.037923	0.730803	10.000000	10.477663	9.507434	2999
0.250000	0.059250	0.714867	10.000000	10.359534	9.530840	2999
0.250000	0.086207	0.690537	10.000000	10.261592	9.575180	2999
0.250000	0.105537	0.669997	10.000000	10.210705	9.546450	2999
0.250000	0.097003	0.681890	10.000000	10.230246	9.622482	2999
0.250000	0.004347	0.717947	10.000000	11.320235	9.380123	2999
0.250000	0.126077	0.651160	10.000000	10.162723	9.647575	2999
0.250000	0.127423	0.650823	10.000000	10.157364	9.595184	2999
0.250000	0.171573	0.564693	10.000000	10.124329	9.917967	2999
0.250000	0.078647	0.701733	10.000000	10.280992	9.629248	2999
0.250000	0.105337	0.672507	10.000000	10.208454	9.579862	2999
0.250000	0.174457	0.579213	10.000000	10.103357	9.847200	2999
0.250000	0.074243	0.694283	10.000000	10.312928	9.503891	2999
0.250000	0.117703	0.659843	10.000000	10.179578	9.634417	2999
0.250000	0.096823	0.682497	10.000000	10.227643	9.623801	2999
0.250000	0.093660	0.685070	10.000000	10.236095	9.615695	2999
0.250000	0.048120	0.721593	10.000000	10.417423	9.507181	2999
0.250000	0.102220	0.674457	10.000000	10.216045	9.698085	2999
0.250000	0.134890	0.630430	10.000000	10.156253	9.770728	2999
0.250000	0.125577	0.649667	10.000000	10.165294	9.670690	2999
0.250000	0.093680	0.683707	10.000000	10.239549	9.588100	2999
0.250000	0.134347	0.625140	10.000000	10.163038	9.817214	2999
0.250000	0.114040	0.664197	10.000000	10.187091	9.633373	2999
0.250000	0.103853	0.672600	10.000000	10.211700	9.557930	2999
0.250000	0.103930	0.673733	10.000000	10.210780	9.638693	2999
0.250000	0.113550	0.659653	10.000000	10.192951	9.708650	2999
0.250000	0.101243	0.676243	10.000000	10.216848	9.642231	2999
0.250000	0.102370	0.675970	10.000000	10.214235	9.590981	2999
0.250000	0.153043	0.622587	10.000000	10.113680	9.695322	2999
0.250000	0.128370	0.648797	10.000000	10.156461	9.649537	2999
0.250000	0.113363	0.661440	10.000000	10.191413	9.689597	2999
0.250000	0.085610	0.682847	10.000000	10.270798	9.495672	2999
0.250000	0.123490	0.648107	10.000000	10.171109	9.737528	2999
0.250000	0.144590	0.632330	10.000000	10.127070	9.672562	2999
0.250000	0.003347	0.702747	10.000000	12.613201	9.350643	2999
0.250000	0.056763	0.716243	10.000000	10.370007	9.523382	2999
0.250000	0.141293	0.635037	10.000000	10.133925	9.679669	2999
0.250000	0.116977	0.659970	10.000000	10.180177	9.665629	2999
0.250000	0.011490	0.730793	10.000000	10.873738	9.418434	2999
0.250000	0.090313	0.685600	10.000000	10.251061	9.553859	2999
0.250000	0.135783	0.642703	10.000000	10.141304	9.628014	2999
0.250000	0.098497	0.676330	10.000000	10.228162	9.546041	2999
0.250000	0.074683	0.695620	10.000000	10.312688	9.502078	2999
0.250000	0.139380	0.635943	10.000000	10.138340	9.684179	2999
0.250000	0.113970	0.662653	10.000000	10.189050	9.666365	2999
0.250000	0.135490	0.626087	10.000000	10.159873	9.800611	2999
0.250000	0.122303	0.648460	10.000000	10.177260	9.734927	2999
0.250000	0.134070	0.637997	10.000000	10.150660	9.721617	2999
0.250000	0.125453	0.653103	10.000000	10.163909	9.627254	2999
0.250000	0.092100	0.686613	10.000000	10.240518	9.635983	2999
0.250000	0.129683	0.624910	10.000000	10.178594	9.838475	2999
0.250000	0.106943	0.671253	10.000000	10.203098	9.612842	2999
0.250000	0.167557	0.556823	10.000000	10.143786	9.966078	2999
0.250000	0.092020	0.681807	10.000000	10.248698	9.537001	2999
0.250000	0.109980	0.668110	10.000000	10.198531	9.587834	2999
0.250000	0.128067	0.639763	10.000000	10.167365	9.755089	2999
0.250000	0.110330	0.663233	10.000000	10.201947	9.724803	2999
0.250000	0.102930	0.672960	10.000000	10.217025	9.575446	2999
0.250000	0.115273	0.663617	10.000000	10.185399	9.595018	2999
0.250000	0.148720	0.624087	10.000000	10.123005	9.722940	2999
0.250000	0.104557	0.672563	10.000000	10.209663	9.657298	2999
0.250000	0.152893	0.613043	10.000000	10.122937	9.766666	2999
0.250000	0.083153	0.695627	10.000000	10.269489	9.596976	2999
0.250000	0.003157	0.727423	10.000000	12.258818	9.393223	2999
0.250000	0.087897	0.691367	10.000000	10.255346	9.636374	2999
0.250000	0.116597	0.651503	10.000000	10.192368	9.755270	2999
0.250000	0.091507	0.682263	10.000000	10.249702	9.527541	2999
0.250000	0.081880	0.690377	10.000000	10.280672	9.533082	2999
0.250000	0.036973	0.736003	10.000000	10.481222	9.514084	2999
0.250000	0.115033	0.660843	10.000000	10.186565	9.687963	2999
0.250000	0.104650	0.672840	10.000000	10.209769	9.657456	2999
0.250000	0.119753	0.657537	10.000000	10.180392	9.533356	2999
0.250000	0.124310	0.645353	10.000000	10.174859	9.748810	2999
0.250000	0.059090	0.715650	10.000000	10.360342	9.532485	2999
0.250000	0.123190	0.651840	10.000000	10.170944	9.685304	2999
0.250000	0.014423	0.727803	10.000000	10.762350	9.419466	2999
0.250000	0.116080	0.662340	10.000000	10.183484	9.618124	2999
0.250000	0.136393	0.642770	10.000000	10.139147	9.601221	2999
0.250000	0.132083	0.634660	10.000000	10.159768	9.758672	2999
0.250000	0.048953	0.721357	10.000000	10.408927	9.513409	2999
0.250000	0.123243	0.648943	10.000000	10.171795	9.714224	2999
0.250000	0.068727	0.695210	10.000000	10.335289	9.483473	2999
0.250000	0.110637	0.666010	10.000000	10.194356	9.575617	2999
0.250000	0.109587	0.668033	10.000000	10.196873	9.595051	2999
0.250000	0.112580	0.665407	10.000000	10.190312	9.642440	2999
0.250000	0.157337	0.621990	10.000000	10.101686	9.652118	2999
0.250000	0.092650	0.685297	10.000000	10.241982	9.594441	2999
0.250000	0.090227	0.687620	10.000000	10.247901	9.600081	2999
0.250000	0.153600	0.607780	10.000000	10.127826	9.796510	2999
0.250000	0.126277	0.644413	10.000000	10.168941	9.739469	2999
0.250000	0.163777	0.596010	10.000000	10.112375	9.805117	2999
0.250000	0.118157	0.653793	10.000000	10.185943	9.724492	2999
0.250000	0.112113	0.666423	10.000000	10.194348	9.611791	2999
0.250000	0.066867	0.710747	10.000000	10.326647	9.565613	2999
0.250000	0.135067	0.639597	10.000000	10.146172	9.694856	2999
0.250000	0.014503	0.704780	10.000000	10.814567	9.370638	2999
0.250000	0.124597	0.651710	10.000000	10.168541	9.679633	2999
0.250000	0.096070	0.682987	10.000000	10.230416	9.620405	2999
0.250000	0.133057	0.637417	10.000000	10.154206	9.729934	2999
0.250000	0.102700	0.671697	10.000000	10.223603	9.531042	2999
0.250000	0.108907	0.669167	10.000000	10.199503	9.588678	2999
0.250000	0.079270	0.693127	10.000000	10.288193	9.535604	2999
0.250000	0.077083	0.694390	10.000000	10.295243	9.522904	2999
0.250000	0.156177	0.599777	10.000000	10.128936	9.828459	2999
0.250000	0.071510	0.702090	10.000000	10.315560	9.534840	2999
0.250000	0.115063	0.653933	10.000000	10.195167	9.762686	2999
0.250000	0.089763	0.686857	10.000000	10.251147	9.575181	2999
0.250000	0.117867	0.660573	10.000000	10.177333	9.632162	2999
0.250000	0.080697	0.690100	10.000000	10.287280	9.514681	2999
0.250000	0.137070	0.635477	10.000000	10.144905	9.712531	2999
0.250000	0.104520	0.671830	10.000000	10.212040	9.687520	2999
0.250000	0.108647	0.669010	10.000000	10.199992	9.601876	2999
0.250000	0.156033	0.623407	10.000000	10.103683	9.674905	2999
0.250000	0.075527	0.700400	10.000000	10.294400	9.557382	2999
0.250000	0.100287	0.677907	10.000000	10.222083	9.679981	2999
0.250000	0.096317	0.678720	10.000000	10.233210	9.559320	2999
0.250000	0.106340	0.667687	10.000000	10.209094	9.724012	2999
0.250000	0.148713	0.613770	10.000000	10.136350	9.789489	2999
0.250000	0.083570	0.688623	10.000000	10.276583	9.515582	2999
0.250000	0.155880	0.553923	10.000000	10.172178	10.017167	2999
0.250000	0.120443	0.654240	10.000000	10.176630	9.698103	2999
0.250000	0.063910	0.700667	10.000000	10.354350	9.477744	2999
0.250000	0.002987	0.735560	10.000000	12.266936	9.407984	2999
0.250000	0.074880	0.698247	10.000000	10.301308	9.532379	2999
0.250000	0.124863	0.652197	10.000000	10.164841	9.672210	2999
0.250000	0.091650	0.678390	10.000000	10.257848	9.501923	2999
0.250000	0.106230	0.670880	10.000000	10.206523	9.597124	2999
0.250000	0.111437	0.667000	10.000000	10.192565	9.653644	2999
0.250000	0.141763	0.634553	10.000000	10.132489	9.674671	2999
0.250000	0.109883	0.666660	10.000000	10.198529	9.683665	2999
0.250000	0.121230	0.654750	10.000000	10.174198	9.695001	2999
0.250000	0.127433	0.642650	10.000000	10.166400	9.744383	2999
0.250000	0.114027	0.663523	10.000000	10.187723	9.560663	2999
0.250000	0.100200	0.676087	10.000000	10.223027	9.568101	2999
0.250000	0.035587	0.717330	10.000000	10.505355	9.449158	2999
0.250000	0.122397	0.648180	10.000000	10.177814	9.744306	2999
0.250000	0.153250	0.608980	10.000000	10.126243	9.792053	2999
0.250000	0.104697	0.673453	10.000000	10.210030	9.591758	2999
0.250000	0.129847	0.636920	10.000000	10.164597	9.757858	2999
0.250000	0.119897	0.648913	10.000000	10.184755	9.748971	2999
0.250000	0.122850	0.652707	10.000000	10.171243	9.678125	2999
0.250000	0.106307	0.670420	10.000000	10.206739	9.669231	2999
0.250000	0.105337	0.670253	10.000000	10.210430	9.700140	2999
0.250000	0.098770	0.678993	10.000000	10.223452	9.606553	2999
0.250000	0.114790	0.664040	10.000000	10.184844	9.614072	2999
