mut_par_size	mut_par_patt	typ1_err	typ2_err	            avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.173220	0.238050	10.000000	10.535412	10.562934	10.000000	10.490863	10.476893	2999
0.250000	0.250000	0.069613	0.128480	10.000000	11.081455	10.121370	10.000000	10.671892	11.316963	2999
0.250000	0.250000	0.150737	0.439437	10.000000	11.346538	9.764311	10.000000	10.284885	10.252564	2999
0.250000	0.250000	0.121837	0.378627	10.000000	11.642386	9.503779	10.000000	10.389120	10.399384	2999
0.250000	0.250000	0.148560	0.278333	10.000000	10.385630	10.665791	10.000000	11.028513	9.811417	2999
0.250000	0.250000	0.121417	0.429377	10.000000	11.957549	9.534681	10.000000	10.363441	10.274297	2999
0.250000	0.250000	0.170043	0.355543	10.000000	11.092022	9.915034	10.000000	10.294495	10.439987	2999
0.250000	0.250000	0.094530	0.578300	10.000000	11.135527	9.559551	10.000000	10.350509	9.812073	2999
0.250000	0.250000	0.138887	0.421510	10.000000	10.354403	10.345879	10.000000	10.826005	9.990045	2999
0.250000	0.250000	0.096450	0.181177	10.000000	10.542793	10.945903	10.000000	11.519620	9.384642	2999
0.250000	0.250000	0.139227	0.316943	10.000000	10.629817	10.404372	10.000000	10.475708	10.464331	2999
0.250000	0.250000	0.164663	0.388983	10.000000	10.280932	10.347862	10.000000	11.409614	9.760851	2999
0.250000	0.250000	0.146753	0.347310	10.000000	10.351253	10.505606	10.000000	11.155260	9.808688	2999
0.250000	0.250000	0.090930	0.585467	10.000000	10.386614	9.781812	10.000000	10.827415	9.564974	2999
0.250000	0.250000	0.122337	0.227833	10.000000	11.996318	9.571714	10.000000	10.452971	10.802170	2999
0.250000	0.250000	0.051903	0.084967	10.000000	12.358237	8.751657	10.000000	10.751885	11.128767	2999
0.250000	0.250000	0.154757	0.198280	10.000000	10.734702	10.380897	10.000000	10.453378	10.798692	2999
0.250000	0.250000	0.182383	0.298313	10.000000	10.337491	10.533518	10.000000	10.742364	10.104511	2999
0.250000	0.250000	0.106807	0.323657	10.000000	10.457393	10.403440	10.000000	12.042203	9.212967	2999
0.250000	0.250000	0.075627	0.115857	10.000000	10.636218	11.326456	10.000000	11.294935	10.121235	2999
0.250000	0.250000	0.155260	0.519067	10.000000	10.270948	9.970291	10.000000	10.681261	9.795652	2999
0.250000	0.250000	0.032413	0.545753	10.000000	10.707693	9.712330	10.000000	12.315285	9.287774	2999
0.250000	0.250000	0.056197	0.089823	10.000000	10.725725	11.494648	10.000000	11.955780	9.784546	2999
0.250000	0.250000	0.117890	0.555163	10.000000	10.300371	9.874814	10.000000	10.940435	9.606092	2999
0.250000	0.250000	0.100473	0.514913	10.000000	11.433335	9.374151	10.000000	10.378034	9.863713	2999
0.250000	0.250000	0.161633	0.501457	10.000000	10.391495	9.983323	10.000000	10.414732	9.940487	2999
0.250000	0.250000	0.100750	0.321903	10.000000	12.722411	9.455949	10.000000	10.471229	10.582225	2999
