sd_size	sd_par_size	min_size_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.416667	0.600000	0.000000	0.147480	0.594680	10.000000	10.147450	10.003049	2999
0.416667	0.600000	0.000000	0.203167	0.538643	10.000000	10.063149	10.003085	2999
0.416667	0.600000	0.000000	0.161513	0.580077	10.000000	10.123204	10.002605	2999
0.416667	0.600000	0.000000	0.217043	0.528053	10.000000	10.045809	10.003588	2999
0.416667	0.600000	0.000000	0.192310	0.550203	10.000000	10.078092	10.003111	2999
0.416667	0.600000	0.000000	0.210783	0.532360	10.000000	10.053527	10.003547	2999
0.416667	0.600000	0.000000	0.133677	0.609857	10.000000	10.169644	10.003128	2999
0.416667	0.600000	0.000000	0.177377	0.563833	10.000000	10.099391	10.002939	2999
0.416667	0.600000	0.000000	0.151990	0.590097	10.000000	10.139901	10.002701	2999
0.416667	0.600000	0.000000	0.138427	0.606180	10.000000	10.164475	10.002804	2999
0.416667	0.600000	0.000000	0.178390	0.563263	10.000000	10.098823	10.003145	2999
0.416667	0.600000	0.000000	0.162760	0.578450	10.000000	10.121940	10.002633	2999
0.416667	0.600000	0.000000	0.137817	0.604500	10.000000	10.163680	10.002861	2999
0.416667	0.600000	0.000000	0.206087	0.536983	10.000000	10.057546	10.002788	2999
0.416667	0.600000	0.000000	0.169840	0.571783	10.000000	10.110588	10.002780	2999
0.416667	0.600000	0.000000	0.168357	0.572697	10.000000	10.112193	10.003046	2999
0.416667	0.600000	0.000000	0.234907	0.511713	10.000000	10.019837	10.003030	2999
0.416667	0.600000	0.000000	0.180153	0.562030	10.000000	10.096064	10.003188	2999
0.416667	0.600000	0.000000	0.167313	0.574103	10.000000	10.115485	10.002774	2999
0.416667	0.600000	0.000000	0.191130	0.549630	10.000000	10.080985	10.003352	2999
0.416667	0.600000	0.000000	0.185020	0.556313	10.000000	10.088739	10.002868	2999
0.416667	0.600000	0.000000	0.205010	0.538283	10.000000	10.061034	10.003028	2999
0.416667	0.600000	0.000000	0.185803	0.555607	10.000000	10.087471	10.002775	2999
0.416667	0.600000	0.000000	0.159763	0.580947	10.000000	10.126603	10.002595	2999
0.416667	0.600000	0.000000	0.178453	0.562383	10.000000	10.099652	10.002974	2999
0.416667	0.600000	0.000000	0.146990	0.595550	10.000000	10.145861	10.002668	2999
0.416667	0.600000	0.000000	0.149317	0.593137	10.000000	10.143244	10.002542	2999
0.416667	0.600000	0.000000	0.218790	0.525057	10.000000	10.042702	10.003080	2999
0.416667	0.600000	0.000000	0.152077	0.590633	10.000000	10.139307	10.003200	2999
0.416667	0.600000	0.000000	0.159647	0.581387	10.000000	10.126279	10.002361	2999
0.416667	0.600000	0.000000	0.141177	0.602377	10.000000	10.156092	10.003008	2999
0.416667	0.600000	0.000000	0.190997	0.550577	10.000000	10.080016	10.002795	2999
0.416667	0.600000	0.000000	0.208863	0.535970	10.000000	10.053935	10.003256	2999
0.416667	0.600000	0.000000	0.243350	0.504183	10.000000	10.010210	10.003054	2999
0.416667	0.600000	0.000000	0.194370	0.547243	10.000000	10.075213	10.002998	2999
0.416667	0.600000	0.000000	0.200697	0.541447	10.000000	10.067228	10.003108	2999
0.416667	0.600000	0.000000	0.181637	0.560063	10.000000	10.092847	10.003011	2999
0.416667	0.600000	0.000000	0.152923	0.589063	10.000000	10.136531	10.002764	2999
0.416667	0.600000	0.000000	0.168547	0.572430	10.000000	10.112723	10.002706	2999
0.416667	0.600000	0.000000	0.217007	0.528083	10.000000	10.043764	10.003094	2999
0.416667	0.600000	0.000000	0.170377	0.570250	10.000000	10.111548	10.003492	2999
0.416667	0.600000	0.000000	0.203773	0.540047	10.000000	10.061982	10.003088	2999
0.416667	0.600000	0.000000	0.149727	0.592547	10.000000	10.143651	10.002678	2999
0.416667	0.600000	0.000000	0.153733	0.589040	10.000000	10.136327	10.003105	2999
0.416667	0.600000	0.000000	0.184280	0.557760	10.000000	10.089654	10.003057	2999
0.416667	0.600000	0.000000	0.187967	0.553557	10.000000	10.085488	10.002942	2999
0.416667	0.600000	0.000000	0.191017	0.551967	10.000000	10.078905	10.002945	2999
0.416667	0.600000	0.000000	0.198000	0.544297	10.000000	10.071793	10.003298	2999
0.416667	0.600000	0.000000	0.185263	0.556420	10.000000	10.089002	10.003005	2999
0.416667	0.600000	0.000000	0.155087	0.586343	10.000000	10.134691	10.003264	2999
0.416667	0.600000	0.000000	0.167180	0.573423	10.000000	10.115535	10.002945	2999
0.416667	0.600000	0.000000	0.163927	0.576210	10.000000	10.120233	10.003191	2999
0.416667	0.600000	0.000000	0.189573	0.552913	10.000000	10.080829	10.002728	2999
0.416667	0.600000	0.000000	0.136170	0.607787	10.000000	10.165948	10.002691	2999
0.416667	0.600000	0.000000	0.210323	0.533097	10.000000	10.053103	10.002581	2999
0.416667	0.600000	0.000000	0.212353	0.532343	10.000000	10.051237	10.003180	2999
0.416667	0.600000	0.000000	0.246187	0.502500	10.000000	10.008730	10.003425	2999
0.416667	0.600000	0.000000	0.198027	0.543840	10.000000	10.070728	10.003208	2999
0.416667	0.600000	0.000000	0.157603	0.583780	10.000000	10.129990	10.002770	2999
0.416667	0.600000	0.000000	0.131770	0.612420	10.000000	10.173351	10.002849	2999
0.416667	0.600000	0.000000	0.174313	0.567660	10.000000	10.104079	10.003105	2999
0.416667	0.600000	0.000000	0.224140	0.521493	10.000000	10.034349	10.002688	2999
0.416667	0.600000	0.000000	0.160927	0.579270	10.000000	10.125122	10.002635	2999
0.416667	0.600000	0.000000	0.129063	0.616333	10.000000	10.179921	10.003134	2999
0.416667	0.600000	0.000000	0.207723	0.536017	10.000000	10.055971	10.002796	2999
0.416667	0.600000	0.000000	0.196937	0.544550	10.000000	10.071664	10.002558	2999
0.416667	0.600000	0.000000	0.148410	0.593947	10.000000	10.144970	10.003084	2999
0.416667	0.600000	0.000000	0.126323	0.619210	10.000000	10.183292	10.002884	2999
0.416667	0.600000	0.000000	0.201353	0.540940	10.000000	10.067658	10.003365	2999
0.416667	0.600000	0.000000	0.174197	0.567493	10.000000	10.105045	10.002784	2999
0.416667	0.600000	0.000000	0.162900	0.578530	10.000000	10.121177	10.003408	2999
0.416667	0.600000	0.000000	0.210463	0.532053	10.000000	10.052599	10.002692	2999
0.416667	0.600000	0.000000	0.261600	0.489630	10.000000	9.987963	10.003242	2999
0.416667	0.600000	0.000000	0.143447	0.599067	10.000000	10.152773	10.002481	2999
0.416667	0.600000	0.000000	0.184367	0.558867	10.000000	10.088255	10.003067	2999
0.416667	0.600000	0.000000	0.185310	0.555850	10.000000	10.089325	10.003435	2999
0.416667	0.600000	0.000000	0.164860	0.576063	10.000000	10.119723	10.003244	2999
0.416667	0.600000	0.000000	0.194750	0.548080	10.000000	10.074318	10.003012	2999
0.416667	0.600000	0.000000	0.150347	0.591350	10.000000	10.142753	10.003265	2999
0.416667	0.600000	0.000000	0.161660	0.580103	10.000000	10.123055	10.003145	2999
0.416667	0.600000	0.000000	0.169757	0.570947	10.000000	10.111355	10.002912	2999
0.416667	0.600000	0.000000	0.180263	0.560273	10.000000	10.096114	10.003165	2999
0.416667	0.600000	0.000000	0.189303	0.552533	10.000000	10.081146	10.002869	2999
0.416667	0.600000	0.000000	0.198713	0.544373	10.000000	10.070149	10.003550	2999
0.416667	0.600000	0.000000	0.174007	0.567407	10.000000	10.105133	10.002758	2999
0.416667	0.600000	0.000000	0.220420	0.524213	10.000000	10.038148	10.002849	2999
0.416667	0.600000	0.000000	0.175023	0.566413	10.000000	10.104243	10.002640	2999
0.416667	0.600000	0.000000	0.185590	0.558433	10.000000	10.090326	10.002904	2999
0.416667	0.600000	0.000000	0.144733	0.597217	10.000000	10.153224	10.003525	2999
0.416667	0.600000	0.000000	0.152383	0.589647	10.000000	10.138961	10.002862	2999
0.416667	0.600000	0.000000	0.130187	0.614733	10.000000	10.176380	10.002935	2999
0.416667	0.600000	0.000000	0.161557	0.580810	10.000000	10.123486	10.003669	2999
0.416667	0.600000	0.000000	0.178727	0.562273	10.000000	10.097686	10.002951	2999
0.416667	0.600000	0.000000	0.190090	0.553200	10.000000	10.081359	10.003219	2999
0.416667	0.600000	0.000000	0.186663	0.555493	10.000000	10.085873	10.002981	2999
0.416667	0.600000	0.000000	0.204703	0.540367	10.000000	10.063881	10.003469	2999
0.416667	0.600000	0.000000	0.169300	0.570853	10.000000	10.113064	10.002730	2999
0.416667	0.600000	0.000000	0.177830	0.563273	10.000000	10.099538	10.003465	2999
0.416667	0.600000	0.000000	0.161303	0.580180	10.000000	10.124549	10.002950	2999
0.416667	0.600000	0.000000	0.161657	0.580563	10.000000	10.124236	10.003117	2999
0.416667	0.600000	0.500000	0.131703	0.387397	10.000000	10.330713	10.502527	2999
0.416667	0.600000	0.500000	0.171817	0.347117	10.000000	10.265542	10.502559	2999
0.416667	0.600000	0.500000	0.167027	0.350533	10.000000	10.273734	10.502871	2999
0.416667	0.600000	0.500000	0.141310	0.376580	10.000000	10.314681	10.502715	2999
0.416667	0.600000	0.500000	0.139003	0.377453	10.000000	10.317094	10.502181	2999
0.416667	0.600000	0.500000	0.165610	0.353110	10.000000	10.274505	10.502348	2999
0.416667	0.600000	0.500000	0.147180	0.371867	10.000000	10.304381	10.502829	2999
0.416667	0.600000	0.500000	0.162420	0.355820	10.000000	10.280144	10.503198	2999
0.416667	0.600000	0.500000	0.139793	0.379113	10.000000	10.316178	10.502877	2999
0.416667	0.600000	0.500000	0.142683	0.375893	10.000000	10.311790	10.502565	2999
0.416667	0.600000	0.500000	0.140950	0.378073	10.000000	10.315270	10.502951	2999
0.416667	0.600000	0.500000	0.164877	0.352490	10.000000	10.276277	10.503095	2999
0.416667	0.600000	0.500000	0.151163	0.367223	10.000000	10.297419	10.502537	2999
0.416667	0.600000	0.500000	0.135333	0.382200	10.000000	10.324394	10.502207	2999
0.416667	0.600000	0.500000	0.161373	0.355940	10.000000	10.282111	10.502784	2999
0.416667	0.600000	0.500000	0.139100	0.378823	10.000000	10.315986	10.502208	2999
0.416667	0.600000	0.500000	0.158170	0.358267	10.000000	10.286523	10.502482	2999
