sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.416667	0.600000	0.000000	0.159517	0.582593	10.000000	10.126839	10.002871	2999
0.416667	0.600000	0.000000	0.154543	0.587143	10.000000	10.134599	10.003071	2999
0.416667	0.600000	0.000000	0.198203	0.543373	10.000000	10.070005	10.002962	2999
0.416667	0.600000	0.000000	0.149347	0.592477	10.000000	10.143997	10.003032	2999
0.416667	0.600000	0.000000	0.140530	0.602763	10.000000	10.159910	10.003232	2999
0.416667	0.600000	0.000000	0.134443	0.609833	10.000000	10.169266	10.002976	2999
0.416667	0.600000	0.000000	0.163710	0.576563	10.000000	10.121389	10.002955	2999
0.416667	0.600000	0.000000	0.184423	0.557923	10.000000	10.089004	10.003216	2999
0.416667	0.600000	0.000000	0.160483	0.580543	10.000000	10.125516	10.003219	2999
0.416667	0.600000	0.000000	0.132933	0.609673	10.000000	10.173585	10.002922	2999
0.416667	0.600000	0.000000	0.183943	0.557813	10.000000	10.089489	10.002795	2999
0.416667	0.600000	0.000000	0.123983	0.621253	10.000000	10.188351	10.002619	2999
0.416667	0.600000	0.000000	0.121270	0.625097	10.000000	10.192893	10.002767	2999
0.416667	0.600000	0.000000	0.182027	0.559980	10.000000	10.092910	10.003104	2999
0.416667	0.600000	0.000000	0.197680	0.544967	10.000000	10.068862	10.003213	2999
0.416667	0.600000	0.000000	0.157937	0.583977	10.000000	10.129506	10.003122	2999
0.416667	0.600000	0.000000	0.136850	0.606263	10.000000	10.164410	10.002740	2999
0.416667	0.600000	0.000000	0.187027	0.556463	10.000000	10.088083	10.003188	2999
0.416667	0.600000	0.000000	0.152133	0.589580	10.000000	10.140425	10.003512	2999
0.416667	0.600000	0.000000	0.156560	0.584380	10.000000	10.133190	10.003069	2999
0.416667	0.600000	0.000000	0.193500	0.547670	10.000000	10.075469	10.002177	2999
0.416667	0.600000	0.000000	0.179667	0.562880	10.000000	10.096684	10.003257	2999
0.416667	0.600000	0.000000	0.154770	0.586667	10.000000	10.135026	10.003260	2999
0.416667	0.600000	0.000000	0.160653	0.581087	10.000000	10.124699	10.002879	2999
0.416667	0.600000	0.000000	0.134550	0.609433	10.000000	10.168212	10.002981	2999
0.416667	0.600000	0.000000	0.176890	0.565620	10.000000	10.099976	10.002910	2999
0.416667	0.600000	0.000000	0.188640	0.553017	10.000000	10.082662	10.002784	2999
0.416667	0.600000	0.000000	0.127333	0.617197	10.000000	10.183140	10.002551	2999
0.416667	0.600000	0.000000	0.184257	0.558527	10.000000	10.088982	10.003300	2999
0.416667	0.600000	0.000000	0.175090	0.565623	10.000000	10.104054	10.003421	2999
0.416667	0.600000	0.000000	0.164053	0.578453	10.000000	10.122053	10.003085	2999
0.416667	0.600000	0.000000	0.136513	0.606407	10.000000	10.166953	10.002940	2999
0.416667	0.600000	0.000000	0.191627	0.550093	10.000000	10.080555	10.003749	2999
0.416667	0.600000	0.000000	0.182523	0.558530	10.000000	10.092354	10.002976	2999
0.416667	0.600000	0.000000	0.153697	0.588207	10.000000	10.137382	10.003014	2999
0.416667	0.600000	0.000000	0.182990	0.559450	10.000000	10.090701	10.002691	2999
0.416667	0.600000	0.000000	0.138923	0.604810	10.000000	10.161697	10.002708	2999
0.416667	0.600000	0.000000	0.197957	0.544187	10.000000	10.068434	10.003188	2999
0.416667	0.600000	0.000000	0.209757	0.535140	10.000000	10.053919	10.003056	2999
0.416667	0.600000	0.000000	0.163417	0.578223	10.000000	10.121661	10.003170	2999
0.416667	0.600000	0.000000	0.163973	0.576810	10.000000	10.121157	10.003432	2999
0.416667	0.600000	0.000000	0.152160	0.590050	10.000000	10.138677	10.003207	2999
0.416667	0.600000	0.000000	0.144157	0.599003	10.000000	10.151200	10.002663	2999
0.416667	0.600000	0.000000	0.186337	0.556227	10.000000	10.086369	10.002988	2999
0.416667	0.600000	0.000000	0.216057	0.528040	10.000000	10.044628	10.003017	2999
0.416667	0.600000	0.000000	0.165800	0.575310	10.000000	10.117039	10.002994	2999
0.416667	0.600000	0.000000	0.160133	0.582293	10.000000	10.125686	10.003134	2999
0.416667	0.600000	0.000000	0.151140	0.590957	10.000000	10.140786	10.002835	2999
