sd_size	sd_par_size	min_size_dif	sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_patt	avg_patt_thr	avg_par_size	avg_par_patt	end_gen
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.029853	0.021850	10.000000	14.110761	10.000000	10.786890	10.000113	12.000455	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.022717	0.026363	10.000000	12.762645	10.000000	10.834395	10.000136	11.999714	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016347	0.033227	10.000000	12.603455	10.000000	10.894525	9.999666	11.999847	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.013660	0.037140	10.000000	12.224761	10.000000	10.927254	9.999945	12.000457	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016670	0.032847	10.000000	12.536992	10.000000	10.891151	10.000323	11.999078	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.017933	0.031617	10.000000	12.971195	10.000000	10.877080	9.999939	11.999960	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.025563	0.024307	10.000000	12.553061	10.000000	10.816760	9.999839	12.000821	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.017637	0.032747	10.000000	11.768853	10.000000	10.889554	9.999749	12.000230	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.029393	0.021793	10.000000	12.943868	10.000000	10.789306	9.999656	12.000607	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.021363	0.028757	10.000000	11.837828	10.000000	10.859033	10.000293	12.000174	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.013253	0.037440	10.000000	12.340602	10.000000	10.931115	10.000187	11.999422	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016130	0.032500	10.000000	13.111396	10.000000	10.893317	10.000591	11.999301	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.027363	0.023430	10.000000	12.282465	10.000000	10.802443	9.999615	12.000054	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016213	0.034240	10.000000	12.157891	10.000000	10.902737	10.000978	12.000014	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.023150	0.026267	10.000000	13.103403	10.000000	10.836449	9.999789	12.000871	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.019960	0.029723	10.000000	12.034650	10.000000	10.859058	9.999891	11.999758	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016810	0.031787	10.000000	12.191538	10.000000	10.888090	9.999665	11.999915	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.025487	0.025300	10.000000	12.318718	10.000000	10.819213	10.000358	11.999563	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016603	0.032893	10.000000	14.738689	10.000000	10.891439	9.999146	11.999579	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015957	0.033587	10.000000	13.106725	10.000000	10.896548	10.000369	12.000058	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.025027	0.025373	10.000000	14.930084	10.000000	10.819833	10.000486	11.999731	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.013960	0.036407	10.000000	11.635415	10.000000	10.923113	10.000075	11.999814	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015817	0.034700	10.000000	11.511078	10.000000	10.903251	9.999696	11.999507	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015753	0.033850	10.000000	12.142101	10.000000	10.904957	10.000001	11.999998	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.013053	0.038163	10.000000	12.006412	10.000000	10.933389	9.999433	11.999298	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.018107	0.031270	10.000000	12.432070	10.000000	10.873054	9.999732	11.999488	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.021983	0.026700	10.000000	12.111224	10.000000	10.839189	10.000528	11.999488	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.017577	0.031863	10.000000	12.016608	10.000000	10.884485	10.000319	12.000238	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.012660	0.039300	10.000000	11.384553	10.000000	10.951038	10.000071	12.000483	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.022493	0.027187	10.000000	13.000229	10.000000	10.843069	9.999642	12.000498	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020193	0.028373	10.000000	11.552136	10.000000	10.859435	10.000537	12.000068	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.019640	0.029407	10.000000	12.444029	10.000000	10.863648	10.000222	11.999949	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016893	0.032280	10.000000	13.650162	10.000000	10.888068	9.999781	11.999043	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020243	0.028833	10.000000	12.245164	10.000000	10.856079	10.000094	11.999797	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020007	0.028893	10.000000	12.335446	10.000000	10.859479	10.000135	11.999780	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.014647	0.034760	10.000000	15.366952	10.000000	10.908745	10.000039	11.999481	2999
