mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.001877	0.984963	0.249967	0.738937	10.000000	11.752880	10.003124	2999
0.250000	0.003050	0.977870	0.249983	0.734057	10.000000	11.332012	10.002853	2999
0.250000	0.000007	0.999987	0.250323	0.751137	10.000000	13.444523	10.003114	2999
0.250000	0.000527	0.995920	0.250033	0.746583	10.000000	12.401002	10.002864	2999
0.250000	0.002590	0.989173	0.250780	0.742293	10.000000	11.747039	10.002803	2999
0.250000	0.001453	0.992507	0.250170	0.745713	10.000000	12.440516	10.003085	2999
0.250000	0.001853	0.985117	0.250340	0.740250	10.000000	11.349541	10.003212	2999
0.250000	0.004733	0.970823	0.249857	0.728903	10.000000	11.246545	10.003158	2999
0.250000	0.002683	0.979110	0.250197	0.735297	10.000000	11.432275	10.003344	2999
0.250000	0.002637	0.977570	0.249280	0.733993	10.000000	11.260059	10.002977	2999
0.250000	0.003793	0.976393	0.250220	0.732960	10.000000	11.301439	10.003291	2999
0.250000	0.000000	0.999987	0.250273	0.749157	10.000000	13.599031	10.002684	2999
0.250000	0.003113	0.974987	0.249510	0.732513	10.000000	11.207451	10.002683	2999
0.250000	0.002723	0.983390	0.250033	0.738957	10.000000	11.601495	10.003040	2999
0.250000	0.005797	0.964287	0.249457	0.724370	10.000000	11.134826	10.003356	2999
0.250000	0.000417	0.996967	0.250900	0.749033	10.000000	12.449565	10.003035	2999
0.250000	0.000170	0.999700	0.250010	0.750567	10.000000	13.125766	10.002586	2999
0.250000	0.000417	0.996673	0.250000	0.747820	10.000000	13.354281	10.002940	2999
0.250000	0.001943	0.983387	0.249457	0.738700	10.000000	11.335957	10.002854	2999
0.250000	0.000463	0.997907	0.250647	0.748673	10.000000	13.384665	10.003290	2999
0.250000	0.000463	0.996613	0.249880	0.747547	10.000000	12.064643	10.002984	2999
0.250000	0.004130	0.970370	0.249750	0.728453	10.000000	11.175124	10.003576	2999
0.250000	0.001500	0.984817	0.249793	0.737957	10.000000	11.552391	10.002973	2999
0.250000	0.005943	0.963420	0.250757	0.722660	10.000000	11.177892	10.003081	2999
0.250000	0.005017	0.975523	0.249500	0.733650	10.000000	13.104650	10.003454	2999
0.250000	0.000550	0.997213	0.250703	0.748773	10.000000	12.116522	10.003180	2999
0.250000	0.002097	0.989100	0.250530	0.743577	10.000000	11.788466	10.003382	2999
0.250000	0.002867	0.978873	0.249187	0.734890	10.000000	11.318805	10.002763	2999
0.250000	0.007633	0.958110	0.249670	0.720827	10.000000	11.130531	10.002740	2999
0.250000	0.003080	0.978457	0.250113	0.735810	10.000000	11.290413	10.003004	2999
0.250000	0.001200	0.992560	0.249280	0.744283	10.000000	11.896401	10.002702	2999
0.250000	0.000167	0.999640	0.250803	0.750637	10.000000	12.575410	10.003200	2999
0.250000	0.003270	0.977733	0.249463	0.733307	10.000000	11.304465	10.002912	2999
0.250000	0.004373	0.970620	0.249730	0.728787	10.000000	11.173816	10.003001	2999
0.250000	0.001590	0.987780	0.249803	0.741863	10.000000	11.699623	10.002967	2999
0.250000	0.003420	0.975390	0.250110	0.732553	10.000000	11.281170	10.003439	2999
0.250000	0.001650	0.984670	0.249480	0.739107	10.000000	11.426006	10.003474	2999
0.250000	0.000000	1.000000	0.250277	0.748520	10.000000	14.734556	10.002753	2999
0.250000	0.005563	0.965913	0.249957	0.725113	10.000000	11.189485	10.003168	2999
0.250000	0.001633	0.986653	0.249410	0.739757	10.000000	11.748366	10.002704	2999
0.250000	0.000810	0.994130	0.250110	0.747107	10.000000	11.956778	10.003210	2999
0.250000	0.002053	0.983013	0.250100	0.738773	10.000000	11.450694	10.002720	2999
0.250000	0.001050	0.993053	0.250417	0.745907	10.000000	11.626667	10.002822	2999
0.250000	0.002577	0.980603	0.249537	0.735867	10.000000	11.416000	10.003744	2999
0.250000	0.006457	0.970187	0.250657	0.729097	10.000000	11.366970	10.002937	2999
0.250000	0.002667	0.985417	0.249763	0.738670	10.000000	12.327590	10.002800	2999
0.250000	0.000523	0.997237	0.250370	0.747317	10.000000	12.063194	10.002843	2999
0.250000	0.003317	0.974027	0.249383	0.731297	10.000000	11.208873	10.002867	2999
0.250000	0.000113	0.999053	0.249707	0.750567	10.000000	12.863097	10.002857	2999
0.250000	0.001543	0.989840	0.250060	0.743073	10.000000	11.740379	10.003291	2999
0.250000	0.001343	0.990483	0.249447	0.743777	10.000000	11.736971	10.002980	2999
0.250000	0.005287	0.967180	0.250117	0.726997	10.000000	11.217827	10.003040	2999
0.250000	0.001847	0.984097	0.249793	0.737117	10.000000	11.333215	10.003096	2999
0.250000	0.000747	0.995043	0.249503	0.745447	10.000000	11.988934	10.003260	2999
0.250000	0.000710	0.996320	0.250363	0.745890	10.000000	11.984977	10.002864	2999
0.250000	0.000550	0.997910	0.250180	0.747340	10.000000	13.326868	10.003313	2999
0.250000	0.001970	0.994873	0.251173	0.745193	10.000000	11.809613	10.003317	2999
0.250000	0.000230	0.998600	0.250357	0.749503	10.000000	13.600717	10.003137	2999
0.250000	0.002813	0.980067	0.249683	0.734330	10.000000	11.529000	10.002830	2999
0.250000	0.006943	0.964787	0.250737	0.724820	10.000000	11.177928	10.002934	2999
0.250000	0.007133	0.960157	0.250510	0.722797	10.000000	11.157777	10.003363	2999
0.250000	0.001220	0.991950	0.251047	0.743540	10.000000	12.172251	10.002975	2999
0.250000	0.001690	0.984927	0.250517	0.739153	10.000000	11.333719	10.003166	2999
0.250000	0.001307	0.993313	0.250633	0.745333	10.000000	12.232863	10.002960	2999
0.250000	0.001233	0.989460	0.249430	0.742200	10.000000	11.677114	10.002907	2999
0.250000	0.003930	0.971103	0.249863	0.728467	10.000000	11.172002	10.003268	2999
0.250000	0.001373	0.990670	0.251033	0.743710	10.000000	12.512242	10.003013	2999
0.250000	0.002907	0.976140	0.249413	0.733133	10.000000	11.254664	10.002943	2999
0.250000	0.003287	0.974263	0.250257	0.730957	10.000000	11.248764	10.003277	2999
0.250000	0.001093	0.994803	0.250690	0.746893	10.000000	12.970371	10.003106	2999
0.250000	0.001560	0.992343	0.249993	0.744760	10.000000	11.799664	10.003060	2999
0.250000	0.004017	0.973693	0.249847	0.730970	10.000000	11.201902	10.003101	2999
0.250000	0.004950	0.968257	0.250397	0.727263	10.000000	11.166172	10.002681	2999
0.250000	0.002560	0.982463	0.250063	0.737033	10.000000	11.590825	10.003139	2999
0.250000	0.000187	0.998943	0.250187	0.749587	10.000000	12.580936	10.002908	2999
0.250000	0.000813	0.992770	0.249870	0.742593	10.000000	11.559238	10.003313	2999
0.250000	0.000117	0.998687	0.251027	0.749337	10.000000	12.699718	10.002827	2999
0.250000	0.002180	0.984633	0.249990	0.739033	10.000000	11.406838	10.003075	2999
0.250000	0.001730	0.983243	0.248960	0.738320	10.000000	11.331985	10.002891	2999
0.250000	0.001343	0.986447	0.249490	0.740257	10.000000	11.355264	10.002855	2999
0.250000	0.004033	0.970687	0.250443	0.727563	10.000000	11.159879	10.003301	2999
0.250000	0.000667	0.994537	0.249650	0.747273	10.000000	12.474408	10.003273	2999
0.250000	0.001263	0.991187	0.250050	0.744247	10.000000	11.587255	10.002957	2999
0.250000	0.000510	0.995513	0.250297	0.746883	10.000000	11.710262	10.003023	2999
0.250000	0.000310	0.999253	0.250157	0.750767	10.000000	12.495389	10.003482	2999
0.250000	0.000570	0.997407	0.249853	0.748583	10.000000	12.715275	10.003054	2999
0.250000	0.001713	0.984130	0.249387	0.740203	10.000000	11.388046	10.002966	2999
0.250000	0.000000	0.999993	0.250273	0.749847	10.000000	13.796195	10.002910	2999
0.250000	0.005167	0.968200	0.249980	0.727197	10.000000	11.168870	10.003525	2999
0.250000	0.000343	0.998033	0.249700	0.748140	10.000000	12.115500	10.002590	2999
0.250000	0.001107	0.990057	0.249743	0.742733	10.000000	11.677460	10.003178	2999
0.250000	0.002357	0.984053	0.250110	0.737507	10.000000	11.366460	10.002753	2999
0.250000	0.000057	0.999840	0.250383	0.749493	10.000000	12.582600	10.003199	2999
0.250000	0.000340	0.997733	0.249973	0.748090	10.000000	12.882546	10.002961	2999
0.250000	0.000010	0.999947	0.250197	0.747973	10.000000	13.260415	10.002515	2999
0.250000	0.001087	0.992577	0.250563	0.744823	10.000000	11.679269	10.003009	2999
0.250000	0.000133	0.999440	0.250067	0.748373	10.000000	12.686629	10.003153	2999
0.250000	0.002350	0.983140	0.249900	0.738017	10.000000	11.431256	10.002478	2999
0.250000	0.002117	0.984910	0.249830	0.737427	10.000000	11.641956	10.002952	2999
0.250000	0.000017	0.999953	0.249897	0.749310	10.000000	13.134892	10.003122	2999
0.250000	0.012207	0.775087	0.235453	0.584717	10.000000	10.973611	10.503083	2999
0.250000	0.015347	0.750943	0.234100	0.566933	10.000000	10.911870	10.502827	2999
0.250000	0.018830	0.733100	0.234620	0.553773	10.000000	10.890117	10.502300	2999
0.250000	0.020273	0.727573	0.235600	0.551457	10.000000	10.878634	10.502354	2999
0.250000	0.013133	0.773497	0.236057	0.583403	10.000000	11.026651	10.502839	2999
0.250000	0.018427	0.737967	0.234343	0.557473	10.000000	10.893280	10.502715	2999
0.250000	0.008993	0.803683	0.235680	0.604247	10.000000	11.034322	10.502650	2999
0.250000	0.019530	0.733997	0.234987	0.555123	10.000000	10.894305	10.502627	2999
0.250000	0.023910	0.712820	0.235773	0.538360	10.000000	10.845955	10.502766	2999
0.250000	0.013620	0.768733	0.235940	0.579943	10.000000	10.958686	10.502598	2999
0.250000	0.013333	0.769197	0.235073	0.579257	10.000000	10.952352	10.502990	2999
0.250000	0.011860	0.782467	0.234797	0.588093	10.000000	10.989181	10.502688	2999
0.250000	0.010027	0.788270	0.235617	0.594370	10.000000	10.993425	10.502507	2999
0.250000	0.014070	0.766550	0.235300	0.577523	10.000000	10.955676	10.502920	2999
0.250000	0.014500	0.760043	0.234523	0.572477	10.000000	10.939547	10.502810	2999
0.250000	0.023523	0.722560	0.237310	0.546207	10.000000	10.879138	10.502793	2999
0.250000	0.025713	0.703993	0.236510	0.533523	10.000000	10.831144	10.502614	2999
0.250000	0.016353	0.747847	0.234190	0.564620	10.000000	10.914768	10.502591	2999
0.250000	0.007010	0.826783	0.236717	0.621987	10.000000	11.090532	10.502989	2999
0.250000	0.025570	0.709803	0.237127	0.537847	10.000000	10.908913	10.502452	2999
0.250000	0.018080	0.742487	0.236207	0.559543	10.000000	10.922785	10.502622	2999
0.250000	0.012513	0.773793	0.235303	0.583267	10.000000	10.959046	10.502450	2999
0.250000	0.014643	0.758187	0.235117	0.570973	10.000000	10.934552	10.502666	2999
0.250000	0.013677	0.763830	0.234733	0.576170	10.000000	10.943545	10.502598	2999
0.250000	0.006413	0.819463	0.235363	0.617157	10.000000	11.055786	10.502397	2999
0.250000	0.018100	0.738267	0.235630	0.556253	10.000000	10.888847	10.502740	2999
0.250000	0.023710	0.709090	0.234957	0.535593	10.000000	10.837403	10.502217	2999
0.250000	0.007857	0.811970	0.235873	0.610707	10.000000	11.048244	10.502306	2999
0.250000	0.012620	0.771527	0.234417	0.582113	10.000000	10.952013	10.502913	2999
0.250000	0.010403	0.788390	0.235383	0.592843	10.000000	10.995298	10.502721	2999
0.250000	0.016503	0.751613	0.234493	0.566360	10.000000	10.926938	10.502308	2999
0.250000	0.008250	0.807097	0.235457	0.607403	10.000000	11.033148	10.502462	2999
0.250000	0.005510	0.831203	0.236243	0.624130	10.000000	11.084183	10.502461	2999
0.250000	0.009963	0.788573	0.234890	0.593213	10.000000	10.988456	10.502522	2999
0.250000	0.018723	0.737710	0.235177	0.557483	10.000000	10.898174	10.502696	2999
0.250000	0.014150	0.763550	0.234857	0.576080	10.000000	10.944386	10.502608	2999
0.250000	0.013973	0.774557	0.236023	0.583307	10.000000	10.967440	10.502779	2999
0.250000	0.014947	0.767627	0.236310	0.577627	10.000000	10.986321	10.502740	2999
0.250000	0.010250	0.793817	0.234803	0.598000	10.000000	11.001477	10.502656	2999
0.250000	0.013400	0.767913	0.234827	0.580100	10.000000	10.962190	10.502475	2999
0.250000	0.017343	0.740463	0.234523	0.558880	10.000000	10.896229	10.502389	2999
0.250000	0.014570	0.760110	0.235287	0.573330	10.000000	10.940394	10.502688	2999
0.250000	0.019210	0.743583	0.235757	0.560547	10.000000	10.928214	10.503043	2999
0.250000	0.012930	0.768950	0.234500	0.579403	10.000000	10.961847	10.502569	2999
0.250000	0.009233	0.806247	0.236780	0.606290	10.000000	11.039998	10.502792	2999
0.250000	0.011240	0.779543	0.234790	0.586720	10.000000	10.971274	10.502904	2999
0.250000	0.018927	0.741183	0.236247	0.560353	10.000000	10.911545	10.502349	2999
0.250000	0.014007	0.764313	0.234867	0.576870	10.000000	10.947004	10.502547	2999
