mut_par_size	mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.006597	0.067383	0.161657	0.050463	10.000000	11.997509	9.999412	10.000000	11.083351	12.000664	2999
0.250000	0.250000	0.003670	0.091560	0.162363	0.068513	10.000000	11.885195	10.000457	10.000000	11.190541	11.999292	2999
0.250000	0.250000	0.005007	0.081563	0.161683	0.061183	10.000000	11.859583	10.000170	10.000000	11.162000	12.000778	2999
0.250000	0.250000	0.006210	0.065900	0.161760	0.049900	10.000000	12.096627	10.000211	10.000000	11.085944	12.000185	2999
0.250000	0.250000	0.002887	0.090603	0.161493	0.068170	10.000000	14.780716	10.000163	10.000000	11.191887	11.999741	2999
0.250000	0.250000	0.003957	0.085183	0.161603	0.064043	10.000000	11.627741	9.999530	10.000000	11.168235	12.000144	2999
0.250000	0.250000	0.002347	0.113440	0.163283	0.085240	10.000000	12.262174	9.999098	10.000000	11.271346	12.000434	2999
0.250000	0.250000	0.006057	0.071483	0.161970	0.053773	10.000000	12.649200	9.999020	10.000000	11.096602	11.999850	2999
0.250000	0.250000	0.004340	0.077407	0.161277	0.057760	10.000000	12.218138	10.000024	10.000000	11.134803	12.000372	2999
0.250000	0.250000	0.010387	0.050753	0.163030	0.038500	10.000000	12.258974	9.999643	10.000000	10.994623	12.000026	2999
0.250000	0.250000	0.004147	0.075857	0.160807	0.056943	10.000000	13.720902	9.999727	10.000000	11.135168	12.000148	2999
0.250000	0.250000	0.004207	0.082793	0.161020	0.062077	10.000000	11.728691	10.000193	10.000000	11.155618	11.999543	2999
0.250000	0.250000	0.007277	0.064020	0.161030	0.048053	10.000000	11.792256	9.999857	10.000000	11.066053	11.999366	2999
0.250000	0.250000	0.007003	0.058503	0.161417	0.044067	10.000000	13.890055	9.999831	10.000000	11.048471	12.000484	2999
0.250000	0.250000	0.008177	0.053283	0.161557	0.040137	10.000000	13.957264	9.999686	10.000000	11.022323	11.999682	2999
0.250000	0.250000	0.006223	0.063800	0.161087	0.047730	10.000000	11.970697	9.999887	10.000000	11.076440	11.999659	2999
0.250000	0.250000	0.010343	0.046710	0.162857	0.035220	10.000000	12.854628	10.000308	10.000000	10.982936	12.000702	2999
0.250000	0.250000	0.007997	0.072243	0.163657	0.054100	10.000000	12.496473	9.999740	10.000000	11.085553	11.999568	2999
0.250000	0.250000	0.006683	0.065060	0.161367	0.049007	10.000000	11.743748	10.000252	10.000000	11.073541	11.999633	2999
0.250000	0.250000	0.003117	0.110860	0.163553	0.083257	10.000000	11.660603	10.000110	10.000000	11.264447	12.000273	2999
0.250000	0.250000	0.002907	0.093177	0.161160	0.070253	10.000000	12.425218	10.000406	10.000000	11.200059	11.999688	2999
0.250000	0.250000	0.003853	0.079930	0.160810	0.059923	10.000000	11.897417	9.999773	10.000000	11.147212	12.000804	2999
0.250000	0.250000	0.007550	0.060147	0.161967	0.045027	10.000000	11.756948	9.999948	10.000000	11.046202	11.999047	2999
0.250000	0.250000	0.005597	0.065977	0.160830	0.049453	10.000000	13.371436	10.000204	10.000000	11.092132	11.999911	2999
0.250000	0.250000	0.004543	0.074843	0.160440	0.056177	10.000000	11.981541	9.999647	10.000000	11.127332	11.999413	2999
0.250000	0.250000	0.009403	0.050457	0.162737	0.038097	10.000000	12.943232	10.000371	10.000000	10.997146	12.000129	2999
0.250000	0.250000	0.003290	0.083553	0.161313	0.062807	10.000000	14.376171	9.999697	10.000000	11.167571	12.000202	2999
0.250000	0.250000	0.007113	0.058653	0.160657	0.044107	10.000000	11.857689	10.000073	10.000000	11.052366	11.999305	2999
0.250000	0.250000	0.005470	0.067020	0.160823	0.050480	10.000000	11.873886	10.000409	10.000000	11.098795	11.999668	2999
0.250000	0.250000	0.003953	0.077040	0.160967	0.057533	10.000000	14.129695	9.999501	10.000000	11.141592	12.000163	2999
0.250000	0.250000	0.003063	0.089723	0.161480	0.067710	10.000000	13.356399	10.000650	10.000000	11.187001	11.999704	2999
0.250000	0.250000	0.005093	0.068033	0.160227	0.050903	10.000000	13.715775	10.000674	10.000000	11.098042	11.999446	2999
0.250000	0.250000	0.004970	0.068663	0.159843	0.051487	10.000000	14.452445	10.000713	10.000000	11.101951	12.000245	2999
0.250000	0.250000	0.003283	0.089140	0.161257	0.066763	10.000000	13.771413	10.000530	10.000000	11.183833	11.999782	2999
0.250000	0.250000	0.006593	0.073763	0.161647	0.055713	10.000000	11.391424	10.000455	10.000000	11.124718	11.999665	2999
0.250000	0.250000	0.008323	0.052087	0.161180	0.038667	10.000000	13.567269	10.000436	10.000000	11.015584	11.999799	2999
0.250000	0.250000	0.008350	0.056017	0.161840	0.041977	10.000000	12.002070	10.000239	10.000000	11.027922	11.999864	2999
0.250000	0.250000	0.004717	0.067813	0.160313	0.050923	10.000000	13.836301	9.999509	10.000000	11.101061	11.999908	2999
0.250000	0.250000	0.007723	0.059630	0.162157	0.044733	10.000000	11.933870	10.000456	10.000000	11.061538	11.999922	2999
0.250000	0.250000	0.004083	0.077313	0.161047	0.058133	10.000000	14.080490	9.999661	10.000000	11.135690	11.999754	2999
0.250000	0.250000	0.003403	0.085423	0.160897	0.063860	10.000000	12.299369	10.000400	10.000000	11.173887	11.999938	2999
