mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.110367	0.761260	0.429577	0.459917	10.000000	10.540124	9.998940	2999
0.250000	0.136110	0.726200	0.426037	0.455273	10.000000	10.482105	10.027422	2999
0.250000	0.109140	0.788443	0.436043	0.476457	10.000000	10.545122	9.720820	2999
0.250000	0.118617	0.779730	0.435383	0.476280	10.000000	10.519955	9.845444	2999
0.250000	0.130330	0.773167	0.435450	0.480203	10.000000	10.491757	9.822674	2999
0.250000	0.119493	0.782283	0.436237	0.478663	10.000000	10.521759	9.826122	2999
0.250000	0.119510	0.767787	0.432460	0.471037	10.000000	10.518352	9.930566	2999
0.250000	0.070200	0.795083	0.433530	0.451843	10.000000	10.675155	9.624591	2999
0.250000	0.117603	0.784227	0.436293	0.477953	10.000000	10.522368	9.746767	2999
0.250000	0.088833	0.800050	0.435280	0.468390	10.000000	10.626921	9.704299	2999
0.250000	0.117807	0.785273	0.437980	0.478333	10.000000	10.530840	9.809131	2999
0.250000	0.126367	0.770080	0.434463	0.476823	10.000000	10.502956	9.887061	2999
0.250000	0.066177	0.806133	0.435160	0.455973	10.000000	10.683630	9.656024	2999
0.250000	0.119160	0.781350	0.435430	0.478163	10.000000	10.516189	9.840189	2999
0.250000	0.130507	0.765477	0.434220	0.475800	10.000000	10.495387	9.897254	2999
0.250000	0.172210	0.713457	0.432720	0.467873	10.000000	10.415817	9.959402	2999
0.250000	0.110060	0.767497	0.430193	0.463110	10.000000	10.537883	9.974842	2999
0.250000	0.051597	0.745867	0.416777	0.410720	10.000000	10.795095	9.460568	2999
0.250000	0.105527	0.779090	0.433253	0.467707	10.000000	10.552609	9.947786	2999
0.250000	0.123790	0.778590	0.435700	0.479807	10.000000	10.506854	9.823237	2999
0.250000	0.115123	0.777890	0.434767	0.473277	10.000000	10.528474	9.673028	2999
0.250000	0.100760	0.794017	0.436610	0.473750	10.000000	10.562636	9.867437	2999
0.250000	0.095073	0.799633	0.437550	0.471840	10.000000	10.577582	9.832718	2999
0.250000	0.086957	0.795413	0.434747	0.464397	10.000000	10.613339	9.667845	2999
0.250000	0.142483	0.745427	0.433387	0.469393	10.000000	10.470121	9.940299	2999
0.250000	0.078980	0.788293	0.430973	0.454230	10.000000	10.630107	9.615627	2999
0.250000	0.121320	0.766593	0.433370	0.470473	10.000000	10.520444	9.932921	2999
0.250000	0.123687	0.772973	0.434723	0.476097	10.000000	10.509044	9.873658	2999
0.250000	0.118807	0.777217	0.434847	0.476067	10.000000	10.518109	9.873955	2999
0.250000	0.131070	0.775970	0.436793	0.483197	10.000000	10.489809	9.785403	2999
0.250000	0.146057	0.742533	0.433297	0.470213	10.000000	10.467612	9.941514	2999
0.250000	0.127350	0.777967	0.437070	0.481907	10.000000	10.501796	9.749466	2999
0.250000	0.107617	0.788810	0.435843	0.474153	10.000000	10.554249	9.729174	2999
0.250000	0.108470	0.788257	0.434887	0.475297	10.000000	10.545339	9.717139	2999
0.250000	0.120160	0.783607	0.437217	0.479563	10.000000	10.530814	9.797158	2999
0.250000	0.122070	0.768427	0.432930	0.472477	10.000000	10.512105	9.915109	2999
0.250000	0.126910	0.673917	0.411333	0.417080	10.000000	10.499906	10.180752	2999
0.250000	0.116333	0.775443	0.434253	0.471943	10.000000	10.525719	9.894086	2999
0.250000	0.143930	0.760977	0.435583	0.482557	10.000000	10.466635	9.853875	2999
0.250000	0.088793	0.800853	0.436387	0.468807	10.000000	10.601313	9.712681	2999
0.250000	0.115720	0.785780	0.437263	0.478733	10.000000	10.526169	9.822392	2999
0.250000	0.146900	0.719023	0.427990	0.456137	10.000000	10.460790	10.017113	2999
0.250000	0.061947	0.787883	0.430440	0.441270	10.000000	10.721607	9.581000	2999
0.250000	0.116473	0.784207	0.435820	0.477830	10.000000	10.525087	9.820813	2999
0.250000	0.087013	0.788260	0.431613	0.460473	10.000000	10.613995	9.629272	2999
0.250000	0.096683	0.778927	0.431753	0.461220	10.000000	10.577659	9.613418	2999
0.250000	0.132760	0.772680	0.437400	0.481803	10.000000	10.495431	9.825078	2999
0.250000	0.125847	0.777880	0.436303	0.480920	10.000000	10.505973	9.793937	2999
0.250000	0.137233	0.771480	0.437663	0.484370	10.000000	10.487128	9.778612	2999
0.250000	0.095207	0.799200	0.437410	0.472920	10.000000	10.576254	9.838084	2999
0.250000	0.132943	0.737267	0.428013	0.459707	10.000000	10.490931	9.996931	2999
0.250000	0.095730	0.793757	0.435703	0.469280	10.000000	10.584916	9.693116	2999
0.250000	0.118817	0.764483	0.432827	0.466750	10.000000	10.517588	9.945534	2999
0.250000	0.111773	0.786320	0.436767	0.476233	10.000000	10.535489	9.735112	2999
0.250000	0.107530	0.791257	0.436517	0.475943	10.000000	10.552595	9.747183	2999
0.250000	0.066440	0.812293	0.437137	0.458277	10.000000	10.668480	9.696295	2999
0.250000	0.151163	0.754993	0.437307	0.481427	10.000000	10.458195	9.842722	2999
0.250000	0.152137	0.756173	0.438303	0.482840	10.000000	10.457659	9.818023	2999
0.250000	0.107133	0.786007	0.435417	0.473823	10.000000	10.554888	9.692056	2999
0.250000	0.112683	0.781603	0.434817	0.474643	10.000000	10.534679	9.687500	2999
0.250000	0.073903	0.808323	0.437197	0.462733	10.000000	10.644296	9.692479	2999
0.250000	0.064857	0.761607	0.423180	0.427693	10.000000	10.799679	9.506120	2999
0.250000	0.090947	0.804240	0.437987	0.472993	10.000000	10.586982	9.831145	2999
0.250000	0.095637	0.792317	0.435170	0.469337	10.000000	10.576640	9.920218	2999
0.250000	0.123290	0.758470	0.431623	0.465650	10.000000	10.511275	9.961357	2999
0.250000	0.113893	0.787577	0.436357	0.480227	10.000000	10.531805	9.738624	2999
0.250000	0.116577	0.778067	0.434887	0.475290	10.000000	10.525386	9.886410	2999
0.250000	0.102520	0.790560	0.435367	0.473923	10.000000	10.557488	9.709659	2999
0.250000	0.104427	0.790417	0.435820	0.474487	10.000000	10.551892	9.865471	2999
0.250000	0.128300	0.762133	0.433120	0.471497	10.000000	10.501604	9.921506	2999
0.250000	0.144593	0.747417	0.433760	0.472943	10.000000	10.463541	9.914603	2999
0.250000	0.139567	0.763033	0.436070	0.479397	10.000000	10.473380	9.851421	2999
0.250000	0.117593	0.783937	0.436240	0.477627	10.000000	10.525367	9.736487	2999
0.250000	0.135167	0.761170	0.434267	0.476907	10.000000	10.482940	9.892531	2999
0.250000	0.113153	0.782190	0.435147	0.474000	10.000000	10.532551	9.874614	2999
0.250000	0.098777	0.784310	0.433123	0.466987	10.000000	10.581613	9.650608	2999
0.250000	0.083633	0.806123	0.437773	0.467837	10.000000	10.606759	9.756739	2999
0.250000	0.084440	0.777783	0.429887	0.452773	10.000000	10.616857	9.582851	2999
0.250000	0.120023	0.771717	0.433277	0.473443	10.000000	10.514358	9.903483	2999
0.250000	0.133850	0.766033	0.434863	0.478147	10.000000	10.486785	9.872851	2999
0.250000	0.153260	0.762003	0.440003	0.486803	10.000000	10.461675	9.783430	2999
0.250000	0.111067	0.790403	0.436740	0.478510	10.000000	10.535787	9.801233	2999
0.250000	0.136027	0.753683	0.432517	0.471733	10.000000	10.481819	9.926120	2999
0.250000	0.121053	0.777510	0.435270	0.476063	10.000000	10.516216	9.676528	2999
0.250000	0.107597	0.792300	0.436587	0.476053	10.000000	10.548951	9.816033	2999
0.250000	0.144843	0.739317	0.431650	0.467967	10.000000	10.463943	9.953827	2999
0.250000	0.094663	0.796487	0.435857	0.470417	10.000000	10.585423	9.721896	2999
0.250000	0.118647	0.781180	0.435807	0.478163	10.000000	10.518941	9.830352	2999
0.250000	0.121953	0.770120	0.434720	0.474160	10.000000	10.512291	9.912443	2999
0.250000	0.134910	0.769287	0.436610	0.480327	10.000000	10.487035	9.842161	2999
0.250000	0.097983	0.799647	0.436433	0.476653	10.000000	10.566043	9.813455	2999
0.250000	0.100183	0.791477	0.434907	0.471070	10.000000	10.564227	9.897315	2999
0.250000	0.112823	0.750840	0.427157	0.455257	10.000000	10.532815	10.027941	2999
0.250000	0.130813	0.774260	0.437077	0.483403	10.000000	10.493761	9.787941	2999
0.250000	0.118800	0.782910	0.436153	0.479093	10.000000	10.516924	9.809950	2999
0.250000	0.082783	0.800807	0.435267	0.465017	10.000000	10.623215	9.682320	2999
0.250000	0.121230	0.774763	0.434197	0.476250	10.000000	10.515466	9.877470	2999
0.250000	0.104507	0.793607	0.435843	0.475950	10.000000	10.553655	9.758640	2999
0.250000	0.114187	0.784527	0.435907	0.477733	10.000000	10.530385	9.817272	2999
0.250000	0.147987	0.756730	0.436767	0.480287	10.000000	10.464364	9.861055	2999
0.250000	0.075930	0.800343	0.434163	0.459007	10.000000	10.659636	9.658242	2999
0.250000	0.082203	0.796433	0.434793	0.461287	10.000000	10.618430	9.662703	2999
0.250000	0.117310	0.783320	0.437387	0.479260	10.000000	10.531882	9.703785	2999
0.250000	0.110300	0.788917	0.436643	0.476953	10.000000	10.538036	9.838016	2999
0.250000	0.134527	0.764793	0.435057	0.478187	10.000000	10.489748	9.867898	2999
0.250000	0.106307	0.788523	0.436200	0.473373	10.000000	10.549567	9.710476	2999
0.250000	0.106917	0.769400	0.430153	0.462560	10.000000	10.545672	9.979860	2999
0.250000	0.146647	0.711350	0.425487	0.451970	10.000000	10.459399	10.041062	2999
0.250000	0.119097	0.783927	0.437850	0.478730	10.000000	10.525384	9.778999	2999
0.250000	0.149580	0.654810	0.414110	0.416540	10.000000	10.454415	10.166094	2999
0.250000	0.117233	0.782260	0.436597	0.476823	10.000000	10.524294	9.702621	2999
