mut_par_size	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.128270	0.783260	0.438047	0.484967	10.000000	10.477155	10.003444	2999
0.250000	0.128187	0.784003	0.438197	0.486547	10.000000	10.475998	10.003165	2999
0.250000	0.151747	0.762927	0.439303	0.485713	10.000000	10.432948	10.003247	2999
0.250000	0.128537	0.783170	0.439680	0.486123	10.000000	10.476720	10.002637	2999
0.250000	0.129197	0.783543	0.438410	0.484967	10.000000	10.475033	10.003119	2999
0.250000	0.119227	0.793370	0.439430	0.486007	10.000000	10.495865	10.002983	2999
0.250000	0.101493	0.811790	0.441183	0.484933	10.000000	10.534526	10.002898	2999
0.250000	0.154640	0.758533	0.438107	0.486930	10.000000	10.425540	10.003079	2999
0.250000	0.127903	0.783313	0.438370	0.486393	10.000000	10.477959	10.003050	2999
0.250000	0.135610	0.777333	0.439090	0.486073	10.000000	10.461820	10.002593	2999
0.250000	0.187937	0.729570	0.442130	0.486047	10.000000	10.372335	10.003215	2999
0.250000	0.124443	0.786400	0.439117	0.483647	10.000000	10.486507	10.002978	2999
0.250000	0.130617	0.782953	0.438767	0.486147	10.000000	10.470817	10.002867	2999
0.250000	0.145813	0.766280	0.437087	0.485963	10.000000	10.441972	10.002709	2999
0.250000	0.121783	0.790943	0.439187	0.486143	10.000000	10.490088	10.003013	2999
0.250000	0.141413	0.771573	0.438297	0.486493	10.000000	10.455489	10.003023	2999
0.250000	0.125553	0.787527	0.437993	0.486587	10.000000	10.481685	10.003552	2999
0.250000	0.145287	0.766740	0.438110	0.485727	10.000000	10.445842	10.002797	2999
0.250000	0.141747	0.770917	0.439570	0.486063	10.000000	10.453074	10.002609	2999
0.250000	0.149937	0.763443	0.439033	0.485987	10.000000	10.436054	10.003350	2999
0.250000	0.152480	0.761213	0.438520	0.486277	10.000000	10.429735	10.003009	2999
0.250000	0.138100	0.774163	0.438627	0.486223	10.000000	10.458190	10.003190	2999
0.250000	0.115033	0.796847	0.439183	0.485143	10.000000	10.503966	10.003596	2999
0.250000	0.124990	0.788473	0.438760	0.486547	10.000000	10.485959	10.003421	2999
0.250000	0.137007	0.774733	0.438310	0.486090	10.000000	10.459500	10.002939	2999
0.250000	0.124773	0.787067	0.439113	0.484607	10.000000	10.485995	10.002951	2999
0.250000	0.133563	0.779857	0.438473	0.486967	10.000000	10.467881	10.002869	2999
0.250000	0.147057	0.766693	0.438243	0.487473	10.000000	10.440924	10.002926	2999
0.250000	0.122117	0.789887	0.438523	0.484980	10.000000	10.488748	10.002961	2999
0.250000	0.138993	0.774493	0.438697	0.486053	10.000000	10.455093	10.003018	2999
0.250000	0.150333	0.763287	0.437830	0.487900	10.000000	10.436280	10.002934	2999
0.250000	0.153290	0.761553	0.439417	0.485733	10.000000	10.430123	10.003258	2999
0.250000	0.112793	0.799460	0.439997	0.485913	10.000000	10.509903	10.003223	2999
0.250000	0.139547	0.771017	0.437837	0.484837	10.000000	10.452859	10.002861	2999
0.250000	0.132940	0.779880	0.438763	0.485830	10.000000	10.467959	10.003134	2999
0.250000	0.116077	0.795477	0.438667	0.484847	10.000000	10.502379	10.002873	2999
0.250000	0.126047	0.785880	0.438530	0.484340	10.000000	10.481252	10.003168	2999
0.250000	0.141393	0.771100	0.437347	0.486390	10.000000	10.450914	10.003054	2999
0.250000	0.117023	0.794153	0.439257	0.483900	10.000000	10.497906	10.003062	2999
0.250000	0.174477	0.741517	0.440737	0.486850	10.000000	10.392347	10.002785	2999
0.250000	0.127027	0.785483	0.438330	0.485927	10.000000	10.478679	10.002757	2999
0.250000	0.098843	0.814877	0.442263	0.483780	10.000000	10.542816	10.003015	2999
0.250000	0.128140	0.784587	0.438590	0.487330	10.000000	10.480656	10.003266	2999
0.250000	0.114663	0.798427	0.439710	0.485397	10.000000	10.506184	10.002988	2999
0.250000	0.142727	0.771107	0.438510	0.486710	10.000000	10.449725	10.003034	2999
0.250000	0.149670	0.763363	0.438547	0.486790	10.000000	10.437610	10.003417	2999
0.250000	0.115220	0.797523	0.438837	0.485963	10.000000	10.504758	10.003457	2999
0.250000	0.156530	0.757147	0.438307	0.485553	10.000000	10.424805	10.003516	2999
0.250000	0.129217	0.782697	0.437697	0.485023	10.000000	10.475676	10.003116	2999
0.250000	0.105717	0.807230	0.440373	0.485527	10.000000	10.526528	10.003233	2999
0.250000	0.138317	0.774543	0.438507	0.486153	10.000000	10.457976	10.003329	2999
0.250000	0.104837	0.806967	0.440267	0.484000	10.000000	10.524268	10.003207	2999
0.250000	0.152430	0.761307	0.438580	0.487063	10.000000	10.431984	10.002698	2999
0.250000	0.139807	0.773297	0.438980	0.485990	10.000000	10.454361	10.002761	2999
0.250000	0.168807	0.745827	0.439770	0.485850	10.000000	10.402073	10.002796	2999
0.250000	0.113767	0.799037	0.439060	0.485503	10.000000	10.508903	10.003015	2999
0.250000	0.162300	0.752270	0.438957	0.486207	10.000000	10.415881	10.003142	2999
0.250000	0.123467	0.788273	0.438220	0.485260	10.000000	10.487747	10.002986	2999
0.250000	0.123507	0.789233	0.438713	0.487483	10.000000	10.487201	10.003118	2999
0.250000	0.118553	0.794050	0.439603	0.486687	10.000000	10.497939	10.003203	2999
0.250000	0.114010	0.798773	0.439773	0.485200	10.000000	10.506558	10.002942	2999
0.250000	0.112380	0.801160	0.440850	0.483660	10.000000	10.515056	10.003077	2999
0.250000	0.136953	0.775370	0.437787	0.486760	10.000000	10.459000	10.003317	2999
0.250000	0.091177	0.821717	0.442800	0.482640	10.000000	10.560762	10.003016	2999
0.250000	0.136477	0.776933	0.438517	0.486467	10.000000	10.460840	10.003113	2999
0.250000	0.109803	0.802797	0.439657	0.485067	10.000000	10.515020	10.002691	2999
0.250000	0.116423	0.795910	0.439770	0.485030	10.000000	10.501546	10.003378	2999
0.250000	0.111787	0.800070	0.439250	0.484980	10.000000	10.513033	10.003048	2999
0.250000	0.121753	0.788930	0.437677	0.484767	10.000000	10.488925	10.002752	2999
0.250000	0.113670	0.797957	0.439280	0.485380	10.000000	10.509947	10.003017	2999
0.250000	0.150600	0.762880	0.438943	0.486560	10.000000	10.435103	10.003261	2999
0.250000	0.115430	0.797203	0.438757	0.485427	10.000000	10.502544	10.002730	2999
0.250000	0.077717	0.837223	0.445150	0.482307	10.000000	10.595471	10.002627	2999
0.250000	0.113537	0.798613	0.439620	0.483697	10.000000	10.508214	10.002967	2999
0.250000	0.112617	0.801130	0.441780	0.485950	10.000000	10.515343	10.002936	2999
0.250000	0.156227	0.757467	0.439277	0.484957	10.000000	10.426030	10.003251	2999
0.250000	0.128890	0.783630	0.438670	0.485750	10.000000	10.476419	10.003108	2999
0.250000	0.132970	0.779667	0.438580	0.486183	10.000000	10.469412	10.003202	2999
0.250000	0.104967	0.808807	0.440100	0.485337	10.000000	10.525312	10.003037	2999
0.250000	0.119503	0.793370	0.439350	0.485393	10.000000	10.496835	10.003356	2999
0.250000	0.166700	0.749007	0.440003	0.487220	10.000000	10.407010	10.003368	2999
0.250000	0.134247	0.778260	0.439197	0.486067	10.000000	10.464446	10.002961	2999
0.250000	0.147120	0.765503	0.438433	0.485537	10.000000	10.440719	10.002676	2999
0.250000	0.125437	0.786167	0.438803	0.485163	10.000000	10.481176	10.002994	2999
0.250000	0.142223	0.771750	0.438783	0.487233	10.000000	10.451736	10.003136	2999
0.250000	0.136970	0.776737	0.439183	0.486643	10.000000	10.461965	10.003342	2999
0.250000	0.122977	0.788447	0.438663	0.486713	10.000000	10.488680	10.002930	2999
0.250000	0.136797	0.775817	0.438600	0.486390	10.000000	10.459441	10.002656	2999
0.250000	0.116663	0.795767	0.439380	0.485577	10.000000	10.500975	10.003222	2999
0.250000	0.142617	0.769943	0.438137	0.487697	10.000000	10.449582	10.003644	2999
0.250000	0.126403	0.786940	0.438880	0.485557	10.000000	10.481853	10.003512	2999
0.250000	0.119387	0.790643	0.438040	0.483813	10.000000	10.494785	10.002968	2999
0.250000	0.159573	0.755187	0.438617	0.486557	10.000000	10.419246	10.002920	2999
0.250000	0.143073	0.769290	0.439210	0.485013	10.000000	10.449131	10.002669	2999
0.250000	0.141397	0.771633	0.438797	0.486463	10.000000	10.452284	10.003018	2999
0.250000	0.151870	0.762793	0.438243	0.486650	10.000000	10.432456	10.002780	2999
0.250000	0.130200	0.782220	0.438950	0.487930	10.000000	10.471105	10.002916	2999
0.250000	0.110747	0.802787	0.439867	0.485310	10.000000	10.513128	10.002949	2999
0.250000	0.120113	0.791433	0.438677	0.485527	10.000000	10.492150	10.002962	2999
0.250000	0.110240	0.800913	0.439703	0.483717	10.000000	10.513387	10.003140	2999
0.250000	0.087060	0.543883	0.365643	0.317500	10.000000	10.569169	10.502413	2999
0.250000	0.114493	0.499803	0.363397	0.304747	10.000000	10.504435	10.502265	2999
0.250000	0.112487	0.502327	0.363060	0.303753	10.000000	10.508940	10.502716	2999
0.250000	0.100633	0.522147	0.364823	0.312133	10.000000	10.536098	10.502738	2999
0.250000	0.113593	0.503073	0.364797	0.305530	10.000000	10.505854	10.502902	2999
0.250000	0.101037	0.521397	0.364997	0.310770	10.000000	10.533926	10.502796	2999
0.250000	0.134433	0.473543	0.366397	0.296033	10.000000	10.463408	10.502674	2999
0.250000	0.111250	0.504587	0.364067	0.305837	10.000000	10.510432	10.502933	2999
0.250000	0.094357	0.532063	0.365827	0.313973	10.000000	10.551108	10.502182	2999
0.250000	0.104663	0.515527	0.364473	0.308810	10.000000	10.527648	10.502784	2999
0.250000	0.086243	0.546327	0.366617	0.319073	10.000000	10.573279	10.502660	2999
0.250000	0.102153	0.520420	0.364373	0.310190	10.000000	10.532476	10.502712	2999
0.250000	0.117537	0.496707	0.365000	0.301980	10.000000	10.499538	10.502790	2999
0.250000	0.084090	0.550183	0.365510	0.320543	10.000000	10.576555	10.502269	2999
0.250000	0.094127	0.533103	0.365187	0.315210	10.000000	10.552402	10.502689	2999
0.250000	0.107723	0.509727	0.363623	0.308367	10.000000	10.517227	10.502661	2999
0.250000	0.097287	0.525080	0.364140	0.311947	10.000000	10.542472	10.502450	2999
0.250000	0.106020	0.512983	0.364170	0.308443	10.000000	10.523424	10.502484	2999
0.250000	0.092387	0.534120	0.364827	0.313813	10.000000	10.555749	10.502977	2999
0.250000	0.079573	0.558640	0.367770	0.322780	10.000000	10.591160	10.502369	2999
0.250000	0.108873	0.509417	0.364453	0.307540	10.000000	10.518047	10.502902	2999
