mut_par_size	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.287473	0.684710	0.535260	0.440010	10.000000	10.247872	9.722284	2999
0.250000	0.225543	0.712370	0.534537	0.411943	10.000000	10.331095	9.558444	2999
0.250000	0.254637	0.694807	0.532553	0.423270	10.000000	10.289256	9.784511	2999
0.250000	0.275960	0.692817	0.534963	0.436320	10.000000	10.261877	9.655953	2999
0.250000	0.245527	0.708630	0.535247	0.425067	10.000000	10.301372	9.624094	2999
0.250000	0.228410	0.693357	0.529997	0.402413	10.000000	10.327069	9.483552	2999
0.250000	0.254230	0.671660	0.526203	0.409203	10.000000	10.289879	9.892079	2999
0.250000	0.236453	0.685993	0.528553	0.403223	10.000000	10.315164	9.468109	2999
0.250000	0.262133	0.688857	0.532227	0.424927	10.000000	10.279325	9.784842	2999
0.250000	0.240333	0.676420	0.525233	0.402253	10.000000	10.309164	9.905925	2999
0.250000	0.250280	0.707110	0.534370	0.427293	10.000000	10.296622	9.719616	2999
0.250000	0.234727	0.713477	0.535247	0.419200	10.000000	10.317148	9.727307	2999
0.250000	0.266827	0.680657	0.530747	0.423043	10.000000	10.274485	9.820836	2999
0.250000	0.265960	0.698267	0.534527	0.433347	10.000000	10.275126	9.688514	2999
0.250000	0.270503	0.695720	0.534753	0.436357	10.000000	10.268706	9.677636	2999
0.250000	0.237917	0.700620	0.532430	0.412623	10.000000	10.313889	9.521895	2999
0.250000	0.275260	0.693860	0.535067	0.437790	10.000000	10.262857	9.666503	2999
0.250000	0.217447	0.703223	0.532343	0.399360	10.000000	10.340784	9.507442	2999
0.250000	0.269553	0.683813	0.532007	0.427410	10.000000	10.269824	9.789995	2999
0.250000	0.255680	0.704920	0.534633	0.429653	10.000000	10.287644	9.678573	2999
0.250000	0.253113	0.697013	0.532287	0.423580	10.000000	10.291125	9.774819	2999
0.250000	0.227273	0.687520	0.527307	0.398620	10.000000	10.327545	9.457326	2999
0.250000	0.266210	0.695727	0.535650	0.432247	10.000000	10.274939	9.568274	2999
0.250000	0.249930	0.701393	0.533520	0.423450	10.000000	10.295648	9.745999	2999
