mut_par_size	mut_par_patt	typ1_err	typ2_err	            rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.123293	0.181237	0.319983	0.081080	10.000000	10.624286	10.861269	10.000000	10.743775	10.703974	2999
0.250000	0.250000	0.135753	0.471340	0.442200	0.218527	10.000000	10.504886	10.147204	10.000000	11.782998	9.311840	2999
0.250000	0.250000	0.081633	0.350137	0.376823	0.134497	10.000000	10.645113	10.247954	10.000000	12.710506	9.006737	2999
0.250000	0.250000	0.113730	0.173517	0.311490	0.074910	10.000000	11.384155	9.666121	10.000000	10.552283	11.047835	2999
0.250000	0.250000	0.151043	0.531513	0.467887	0.258020	10.000000	10.471867	9.469679	10.000000	11.451966	9.419235	2999
0.250000	0.250000	0.211063	0.582707	0.493450	0.327037	10.000000	10.399664	9.792539	10.000000	10.976670	9.538718	2999
0.250000	0.250000	0.199347	0.455347	0.450993	0.248427	10.000000	10.845570	9.929599	10.000000	10.415404	10.355183	2999
0.250000	0.250000	0.174507	0.376553	0.416680	0.194457	10.000000	10.445414	10.544885	10.000000	11.027866	9.880993	2999
0.250000	0.250000	0.149787	0.362210	0.402820	0.175020	10.000000	12.057660	9.140604	10.000000	10.472123	10.228036	2999
0.250000	0.250000	0.033713	0.421710	0.405310	0.130137	10.000000	13.586460	9.107219	10.000000	10.956152	9.481926	2999
0.250000	0.250000	0.225187	0.560427	0.489830	0.322790	10.000000	10.442607	10.054246	10.000000	10.619820	9.920399	2999
0.250000	0.250000	0.146723	0.242563	0.356357	0.116623	10.000000	11.139727	10.080146	10.000000	10.485304	10.857842	2999
0.250000	0.250000	0.100190	0.260633	0.343060	0.107683	10.000000	10.631678	10.948272	10.000000	10.922836	10.076858	2999
0.250000	0.250000	0.059663	0.104460	0.247953	0.036930	10.000000	10.735364	11.242461	10.000000	13.107311	9.067925	2999
0.250000	0.250000	0.077443	0.113100	0.263020	0.042967	10.000000	10.864071	11.129262	10.000000	10.738978	10.984742	2999
0.250000	0.250000	0.241617	0.456053	0.464700	0.271280	10.000000	12.064730	9.733631	10.000000	10.319943	10.262842	2999
0.250000	0.250000	0.163837	0.484973	0.452923	0.242930	10.000000	12.046339	9.246506	10.000000	10.445865	9.804307	2999
0.250000	0.250000	0.230263	0.492860	0.471903	0.286740	10.000000	11.035307	9.728185	10.000000	10.344824	10.192693	2999
0.250000	0.250000	0.083147	0.355997	0.382257	0.137170	10.000000	10.664018	10.016356	10.000000	12.282039	8.943358	2999
0.250000	0.250000	0.161950	0.300640	0.384420	0.149753	10.000000	10.641322	10.707985	10.000000	10.576011	10.286248	2999
0.250000	0.250000	0.095720	0.138107	0.285130	0.055757	10.000000	10.903622	10.508621	10.000000	10.652402	11.179249	2999
0.250000	0.250000	0.066120	0.263370	0.330047	0.095730	10.000000	10.710065	10.162417	10.000000	12.789788	8.774715	2999
0.250000	0.250000	0.178667	0.437770	0.438937	0.226820	10.000000	10.418647	10.224309	10.000000	11.569769	9.393786	2999
0.250000	0.250000	0.082080	0.133137	0.275180	0.051037	10.000000	10.643657	11.128419	10.000000	11.941749	9.235438	2999
0.250000	0.250000	0.048883	0.055747	0.215737	0.018337	10.000000	11.113664	10.504255	10.000000	10.846159	11.740635	2999
0.250000	0.250000	0.046083	0.074560	0.224640	0.024520	10.000000	10.992518	11.189780	10.000000	10.894798	11.399972	2999
