mut_par_size	mut_par_patt	typ1_err	typ2_err	            rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.036117	0.032920	0.194157	0.010130	10.000000	12.408724	9.999855	10.000000	10.903738	11.999659	2999
0.250000	0.250000	0.033160	0.037667	0.196487	0.011310	10.000000	11.796739	9.999085	10.000000	10.946227	11.999739	2999
0.250000	0.250000	0.031350	0.038677	0.195203	0.011833	10.000000	14.733909	9.999554	10.000000	10.953535	11.999812	2999
0.250000	0.250000	0.032757	0.037740	0.195643	0.011490	10.000000	12.075140	10.000491	10.000000	10.944954	11.999437	2999
0.250000	0.250000	0.033323	0.036890	0.195580	0.011197	10.000000	11.913379	10.000300	10.000000	10.935539	11.999039	2999
0.250000	0.250000	0.034883	0.033643	0.193917	0.010553	10.000000	12.881202	9.999937	10.000000	10.913104	11.999637	2999
0.250000	0.250000	0.036740	0.031637	0.194817	0.009797	10.000000	12.437349	10.000048	10.000000	10.898008	11.999699	2999
0.250000	0.250000	0.037813	0.030790	0.195250	0.009767	10.000000	13.758062	10.000009	10.000000	10.886830	12.000140	2999
0.250000	0.250000	0.032877	0.036800	0.195143	0.011183	10.000000	13.008030	10.000209	10.000000	10.938521	11.999995	2999
0.250000	0.250000	0.034483	0.033860	0.194677	0.010577	10.000000	13.736673	9.999818	10.000000	10.918631	11.999491	2999
0.250000	0.250000	0.037933	0.030807	0.194867	0.009807	10.000000	11.483028	10.000499	10.000000	10.891435	11.999357	2999
0.250000	0.250000	0.033040	0.037327	0.195487	0.011410	10.000000	12.144579	10.000353	10.000000	10.941338	12.000015	2999
0.250000	0.250000	0.031660	0.037523	0.194607	0.011527	10.000000	12.136536	10.000399	10.000000	10.950142	11.999703	2999
0.250000	0.250000	0.034927	0.033957	0.194783	0.010427	10.000000	13.251791	9.999849	10.000000	10.912761	12.000217	2999
0.250000	0.250000	0.031980	0.038297	0.194500	0.011383	10.000000	12.875952	10.000232	10.000000	10.954637	12.000434	2999
0.250000	0.250000	0.044830	0.023600	0.196070	0.007713	10.000000	11.792689	10.000117	10.000000	10.822723	11.999788	2999
0.250000	0.250000	0.028940	0.047920	0.198557	0.014417	10.000000	12.283208	10.000427	10.000000	11.012127	12.000003	2999
0.250000	0.250000	0.039417	0.028937	0.194983	0.009427	10.000000	11.992495	9.999587	10.000000	10.872077	11.999877	2999
0.250000	0.250000	0.045067	0.024637	0.196660	0.008143	10.000000	12.952444	9.999161	10.000000	10.826446	12.000157	2999
0.250000	0.250000	0.030120	0.042503	0.195753	0.012727	10.000000	11.787783	10.000192	10.000000	10.980086	11.999591	2999
0.250000	0.250000	0.039823	0.027553	0.194960	0.008657	10.000000	13.966103	10.000153	10.000000	10.861377	11.999874	2999
0.250000	0.250000	0.033307	0.036933	0.195857	0.011267	10.000000	12.586716	9.999487	10.000000	10.936192	12.000583	2999
0.250000	0.250000	0.029327	0.043943	0.195957	0.013007	10.000000	14.175543	10.000508	10.000000	10.991301	11.999941	2999
0.250000	0.250000	0.028443	0.050777	0.199790	0.015230	10.000000	12.024192	10.000623	10.000000	11.025192	12.000259	2999
0.250000	0.250000	0.037223	0.031733	0.195137	0.009930	10.000000	12.203897	10.000171	10.000000	10.890406	11.999648	2999
0.250000	0.250000	0.033060	0.036683	0.194767	0.011117	10.000000	13.641223	10.000277	10.000000	10.937756	12.000547	2999
0.250000	0.250000	0.034453	0.034587	0.195207	0.010943	10.000000	13.391787	9.999816	10.000000	10.919671	12.000227	2999
0.250000	0.250000	0.032720	0.036317	0.194457	0.011017	10.000000	11.721894	10.000726	10.000000	10.938470	12.000552	2999
0.250000	0.250000	0.038323	0.028880	0.194830	0.009050	10.000000	13.072908	9.999972	10.000000	10.873837	12.000027	2999
0.250000	0.250000	0.031777	0.038667	0.195597	0.011940	10.000000	12.950701	10.000207	10.000000	10.949837	12.000319	2999
0.250000	0.250000	0.032563	0.038163	0.195427	0.011630	10.000000	11.600846	10.000334	10.000000	10.952920	12.000254	2999
0.250000	0.250000	0.031687	0.040153	0.196520	0.012233	10.000000	11.494767	9.999855	10.000000	10.968977	11.999546	2999
0.250000	0.250000	0.035203	0.034360	0.195993	0.010557	10.000000	12.145727	9.999536	10.000000	10.918200	11.999989	2999
0.250000	0.250000	0.031517	0.039387	0.195963	0.012100	10.000000	12.936277	10.000990	10.000000	10.959704	11.999682	2999
0.250000	0.250000	0.031867	0.039633	0.196400	0.012110	10.000000	11.585647	9.999949	10.000000	10.963444	12.000507	2999
0.250000	0.250000	0.037960	0.030260	0.194630	0.009627	10.000000	11.693521	10.000121	10.000000	10.883363	11.999801	2999
0.250000	0.250000	0.030620	0.044973	0.198027	0.013323	10.000000	11.620824	9.999901	10.000000	10.991759	12.000313	2999
0.250000	0.250000	0.030483	0.042167	0.196003	0.013070	10.000000	12.298955	9.999969	10.000000	10.978577	12.000215	2999
0.250000	0.250000	0.041343	0.027003	0.195537	0.008857	10.000000	13.845460	10.000225	10.000000	10.853515	12.000420	2999
0.250000	0.250000	0.034427	0.034173	0.194893	0.010647	10.000000	12.704820	10.000391	10.000000	10.917855	12.000174	2999
0.250000	0.250000	0.034727	0.033047	0.194557	0.010313	10.000000	12.514780	10.000868	10.000000	10.912132	11.999783	2999
0.250000	0.250000	0.036903	0.032000	0.195597	0.009773	10.000000	12.954802	10.000726	10.000000	10.898230	12.000397	2999
0.250000	0.250000	0.039200	0.028990	0.195310	0.009117	10.000000	11.645294	9.999879	10.000000	10.874583	12.000188	2999
0.250000	0.250000	0.042877	0.025457	0.195697	0.008213	10.000000	11.689930	9.999884	10.000000	10.838751	11.999634	2999
0.250000	0.250000	0.037213	0.031653	0.195307	0.009940	10.000000	13.357532	9.999916	10.000000	10.893356	12.000199	2999
0.250000	0.250000	0.031557	0.040643	0.196657	0.012277	10.000000	12.181110	9.999975	10.000000	10.961821	12.000495	2999
0.250000	0.250000	0.033043	0.037357	0.195120	0.011347	10.000000	11.746756	9.999831	10.000000	10.945942	12.000133	2999
0.250000	0.250000	0.039467	0.029317	0.195017	0.009193	10.000000	12.318617	9.999382	10.000000	10.874515	12.000530	2999
0.250000	0.250000	0.041063	0.027097	0.196490	0.008427	10.000000	14.968933	9.999771	10.000000	10.853741	11.999700	2999
0.250000	0.250000	0.036930	0.032373	0.194897	0.009930	10.000000	14.660356	10.000617	10.000000	10.900136	11.999720	2999
0.250000	0.250000	0.037480	0.029627	0.194123	0.009137	10.000000	13.119742	9.999656	10.000000	10.883782	12.000522	2999
0.250000	0.250000	0.035947	0.032557	0.195330	0.010063	10.000000	12.782316	9.999622	10.000000	10.902715	11.999323	2999
0.250000	0.250000	0.037970	0.030013	0.195087	0.009570	10.000000	12.459556	9.999954	10.000000	10.882053	11.999657	2999
0.250000	0.250000	0.031180	0.040250	0.195743	0.012223	10.000000	13.000531	10.000325	10.000000	10.961603	12.000648	2999
0.250000	0.250000	0.036443	0.034997	0.196670	0.011080	10.000000	11.790929	9.999981	10.000000	10.916067	12.000073	2999
0.250000	0.250000	0.031320	0.040073	0.196150	0.012437	10.000000	12.825911	10.000768	10.000000	10.961191	12.000190	2999
0.250000	0.250000	0.031497	0.039340	0.195533	0.012290	10.000000	13.316106	9.999887	10.000000	10.952542	12.000202	2999
0.250000	0.250000	0.034633	0.033860	0.194167	0.010463	10.000000	11.642128	9.999753	10.000000	10.920778	12.001341	2999
0.250000	0.250000	0.032823	0.037147	0.195230	0.011303	10.000000	11.946552	9.999430	10.000000	10.938948	12.000192	2999
0.250000	0.250000	0.037397	0.031580	0.195453	0.010063	10.000000	11.303086	9.999743	10.000000	10.904601	12.000355	2999
0.250000	0.250000	0.032513	0.037307	0.195407	0.011147	10.000000	13.003083	9.999864	10.000000	10.943113	12.000313	2999
0.250000	0.250000	0.038733	0.028723	0.195127	0.009333	10.000000	13.149110	10.000795	10.000000	10.870884	11.999522	2999
0.250000	0.250000	0.035480	0.032420	0.194370	0.010097	10.000000	14.033953	9.999914	10.000000	10.903963	11.999586	2999
0.250000	0.250000	0.035537	0.032923	0.194447	0.010447	10.000000	13.285294	9.999973	10.000000	10.911607	12.000695	2999
0.250000	0.250000	0.034040	0.035010	0.194513	0.010773	10.000000	13.173405	10.000839	10.000000	10.926811	12.000171	2999
0.250000	0.250000	0.035630	0.032500	0.194750	0.010037	10.000000	11.532315	10.000666	10.000000	10.906579	11.999410	2999
0.250000	0.250000	0.032300	0.038073	0.195860	0.011463	10.000000	13.601136	10.000359	10.000000	10.948260	12.000100	2999
0.250000	0.250000	0.048277	0.022017	0.197523	0.007273	10.000000	13.102916	10.000826	10.000000	10.799907	12.000281	2999
0.250000	0.250000	0.039470	0.028610	0.195390	0.009217	10.000000	12.413926	10.000096	10.000000	10.870764	11.999788	2999
0.250000	0.250000	0.038800	0.029000	0.194723	0.009130	10.000000	11.849295	10.000233	10.000000	10.874934	12.000090	2999
0.250000	0.250000	0.031943	0.041543	0.196930	0.012490	10.000000	11.749131	9.999933	10.000000	10.967702	11.999450	2999
0.250000	0.250000	0.042257	0.028987	0.197443	0.008853	10.000000	11.446949	10.001168	10.000000	10.866751	12.000441	2999
